Tên chi nhánh,Mã số thuế,Tên CEO,Địa chỉ chi nhánh,Tên HO,Tỉnh,business
PHÒNG GIAO DỊCH SHB TRẢNG BOM - CHI NHÁNH ĐỒNG NAI - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,1800278630-047,NGUYỄN VĂN HIẾU,"Số 2424, Quốc lộ 1A, ấp Thanh Hóa, Xã Hố Nai 3, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Thanh Hoá,
PHÒNG GIAO DỊCH SHB LONG THÀNH - CHI NHÁNH ĐỒNG NAI - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,1800278630-048,PHAN THANH THIẾT,"Số 297, tổ 7, đường Lê Duẩn, khu Phước Hải, Thị Trấn Long Thành, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Đồng Nai,
PHÒNG GIAO DỊCH SHB TAM HIỆP - CHI NHÁNH ĐỒNG NAI - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,1800278630-049,NGUYỄN QUÝ HẬU,"Số 276, đường Phạm Văn Thuận, khu phố 4, Phường Tam Hiệp, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Đồng Nai,
PHÒNG GIAO DỊCH SHB HỐ NAI - CHI NHÁNH ĐỒNG NAI - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,1800278630-050,PHẠM VĂN HƯNG,"Số 174 và 176, xa lộ Hà Nội, khu phố 1, Phường Tân Biên, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hà Nội,
PHÒNG GIAO DỊCH SHB LONG BÌNH TÂN - CHI NHÁNH ĐỒNG NAI - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,1800278630-051,NGUYỄN MINH ĐỨC,"Số 146, đường Bùi Văn Hòa, KP 11, Phường An Bình, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Đồng Nai,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI CHI NHÁNH BÌNH DƯƠNG - PHÒNG GIAO DỊCH SỞ SAO,1800278630-052,NGUYỄN HOÀNG LONG,"Số 69/3, Khu phố 1, Phường Tân Định, Thị xã Bến Cát, Tỉnh Bình Dương, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Bình Dương,
"PHÒNG GIAO DỊCH SHB VẠN NINH - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH KHÁNH HÒA",1800278630-053,TRƯƠNG NHẬT NGUYÊN,"339 Hùng Vương, Thị Trấn Vạn Giã, Huyện Vạn Ninh, Tỉnh Khánh Hòa, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Khánh Hòa,
"PHÒNG GIAO DỊCH SHB NINH HÒA - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH KHÁNH HÒA",1800278630-054,HỒ XUÂN TRƯỜNG,"Số 238 đường Nguyễn Thị Ngọc Oanh, tổ dân phố 5, Phường Ninh Hiệp, Thị xã Ninh Hoà, Tỉnh Khánh Hòa, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Khánh Hòa,
"PHÒNG GIAO DỊCH SHB CAM RANH - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH KHÁNH HÒA",1800278630-055,ĐỖ HỒNG PHI,"124A Đường 22 tháng 8, Phường Cam Thuận, Thành Phố Cam Ranh, Tỉnh Khánh Hòa, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Khánh Hòa,
"PHÒNG GIAO DỊCH SHB VĨNH PHƯỚC - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH KHÁNH HÒA",1800278630-056,PHẠM HỒNG TIẾN,"28A đường 2/4, Phường Vĩnh Phước, Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Khánh Hòa,
PHÒNG GIAO DỊCH SHB GIA KIỆM - CHI NHÁNH ĐỒNG NAI - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,1800278630-057,NGUYỄN ĐINH QUỐC ANH CHƯƠNG,"1/5B, Ấp Tây Kim, Xã Gia Kiệm, Huyện Thống Nhất, Tỉnh Đồng Nai, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Đồng Nai,
PHÒNG GIAO DỊCH SHB BIÊN HÒA - CHI NHÁNH ĐỒNG NAI - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,1800278630-058,NGUYỄN THÀNH LONG,"Số 15-17, đường 30-4, Phường Thanh Bình, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Đồng Nai,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI CHI NHÁNH KIÊN GIANG - PHÒNG GIAO DỊCH RẠCH SỎI,1800278630-059,NGUYỄN TRÍ LAM,"Lô L04-07, đường Mai Thị Hồng Hạnh, Phường Rạch Sỏi, Thành phố Rạch Giá, Tỉnh Kiên Giang, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Kiên Giang,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH NIỆM NGHĨA,1800278630-060,NGUYỄN TRUNG GIANG,"Số 266 Trần Nguyên Hãn, Phường Niệm Nghĩa, Quận Lê Chân, Thành phố Hải Phòng, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hải Phòng,
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN- HÀ NỘI, CHI NHÁNH HƯNG YÊN, PHÒNG GIAO DỊCH NHƯ QUỲNH",1800278630-061,LÊ VĂN HƯNG,"Km 12, Quốc lộ 5A, Thị Trấn Như Quỳnh, Huyện Văn Lâm, Tỉnh Hưng Yên, Việt Nam",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hưng Yên,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN � HÀ NỘI CHI NHÁNH CẦN THƠ-PHÒNG GIAO DỊCH THỐT NỐT,1800278630-109,,72 Nguyễn Thái Học - Phường Thốt Nốt - Quận Thốt Nốt - Cần Thơ.,Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Cần Thơ,
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH LÊ CHÂN - QUỸ TIẾT KIỆM LÊ DUẨN",1800278630-110,Nguyễn Văn Lê,"Số 20 Lê Duẩn, tổ 52, cụm 6 - Phường Quán Trữ - Quận Kiến An - Hải Phòng.",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hải Phòng,
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH HỒNG BÀNG - PHÒNG GIAO DỊCH THUỶ NGUYÊN",1800278630-111,Nguyễn Văn Lê,Số 22 Bạch Đằng - Thị trấn Núi Đèo - Huyện Thuỷ Nguyên - Hải Phòng.,Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hải Phòng,
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH HỒNG BÀNG - PHÒNG GIAO DỊCH NGÔ QUYỀN",1800278630-112,Nguyễn Văn Lê,Số 23 Điện Biên Phủ - Phường Máy Tơ - Quận Ngô Quyền - Hải Phòng.,Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Điện Biên,
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH HỒNG BÀNG - PHÒNG GIAO DỊCH ĐẰNG GIANG",1800278630-113,Nguyễn Văn Lê,Số 414 Lạch Tray - Phường Đằng Giang - Quận Ngô Quyền - Hải Phòng.,Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hải Phòng,
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI, CHI NHÁNH HỒNG BÀNG - PHÒNG GIAO DỊCH ĐÔNG HẢI",1800278630-114,Nguyễn Văn Lê,Số 324 Đà Nẵng - Phường Đông Hải 1 - Quận Hải An - Hải Phòng.,Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Đà Nẵng,
SHB- KIỂM THỬ HĐĐT KHÔNG MÃ,1800278630-998,SHB- Kiểm thử HĐĐT không mã,"Số 77, phố Trần Hưng Đạo - Phường Trần Hưng Đạo - Quận Hoàn Kiếm - Hà Nội.",Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Hà Nội,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN QUỐC DÂN-CHI NHÁNH THỪA THIÊN HUẾ - PHÒNG GIAO DỊCH TÂY LỘC-HUẾ,1700169765-017,LÊ THỊ NGỌC CHÂU,"168 Nguyễn Trãi, Phường Tây Lộc, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam",Ngân hàng TMCP Quốc dân,Thừa Thiên Huế,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN QUỐC DÂN CHI NHÁNH THỪA THIÊN HUẾ - PHÒNG GIAO DỊCH ĐÔNG BA-HUẾ,1700169765-018,ĐINH THỊ QUỲNH CHÂU,"271 Trần Hưng Đạo, Phường Đông Ba, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam",Ngân hàng TMCP Quốc dân,Thừa Thiên Huế,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN QUỐC DÂN - CHI NHÁNH VĨNH LONG – PHÒNG GIAO DỊCH NGUYỄN HUỆ,1700169765-019,NGUYỄN VĂN MINH,"Số 132 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",Ngân hàng TMCP Quốc dân,Vĩnh Long,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN QUỐC DÂN - CHI NHÁNH BÌNH DƯƠNG - PHÒNG GIAO DỊCH DĨ AN,1700169765-022,TRẦN ĐỨC QUANG,"Số 115-117, Khu phố Bình Minh 2, Phường Dĩ An, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",Ngân hàng TMCP Quốc dân,Bình Dương,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN QUỐC DÂN - CHI NHÁNH BÌNH DƯƠNG - PHÒNG GIAO DỊCH THUẬN AN,1700169765-023,LÊ ĐÌNH KHẢI,"Số 53A, Đường Nguyễn Văn Tiết, Khu phố Bình Hòa, Phường Lái Thiêu, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",Ngân hàng TMCP Quốc dân,Bình Dương,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN QUỐC DÂN - CHI NHÁNH SÀI GÒN - PHÒNG GIAO DỊCH BÌNH PHÚ - HỒ CHÍ MINH,1700169765-027,NGUYỄN TUẤN ANH,"161-163 đường Bình Phú, Phường 11, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",Ngân hàng TMCP Quốc dân,TP Hồ Chí Minh,
NH TMCP NAM VIỆT - CHI NHÁNH TẠI HẢI PHÒNG,1700169765-033,Nguyễn Tiến Dũng,18A Lạch Tray P.Lạch Tray - Phường Lạch Tray - Quận Ngô Quyền - Hải Phòng.,Ngân hàng TMCP Quốc dân,Hải Phòng,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN NAM VIỆT - CHI NHÁNH HƯNG YÊN,1700169765-034,Mai Văn Tới,Số 94 đường Điện Biên - Phường Lê Lợi - Thành phố Hưng yên - Hưng Yên.,Ngân hàng TMCP Quốc dân,Hưng Yên,
PGD SỐ 16,1700169765-035,Nguyễn Tiến Dũng,338 QL1 - Phường Trung Dũng - Thành phố Biên Hoà - Đồng Nai.,Ngân hàng TMCP Quốc dân,Đồng Nai,
CHI NHÁNH CÔNG TY BẢO HIỂM LIÊN HIỆP TẠI VINH,0100112571-002,Đinh Trọng Phương,Phòng 503 tầng 5 Tòa nhà VCCI Nghệ An - Phường Hưng Phúc - Thành phố Vinh - Nghệ An.,Công ty Bảo hiểm Liên Hiệp,Nghệ An,
CHI NHÁNH CTY TNHH T VÀ T,0100233223-001,Ngô Quý Cường,214 Nguyễn Trọng Tuyển P.08 - - Quận Phú Nhuận - TP Hồ Chí Minh.,Công ty Cổ phần Tập đoàn T&T,TP Hồ Chí Minh,Bán lẻ hàng hóa khác trong các cửa hàng chuyên doanh
VĂN PHÒNG ĐẠI DIỆN TẠI NGHỆ AN - CÔNG TY CỔ PHẦN TẬP ĐOÀN T&T,0100233223-003,PHẠM NHƯ NGỌC,"Số 01, Đường Quang Trung, Phường Quang Trung, Thành phố Vinh, Tỉnh Nghệ An, Việt Nam",Công ty Cổ phần Tập đoàn T&T,Nghệ An,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TẬP ĐOÀN T&T TẠI THÀNH PHỐ HỒ CHÍ MINH,0100233223-004,NGUYỄN VĂN TÙNG,"31 Trần Quốc Thảo, Phường 06, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Công ty Cổ phần Tập đoàn T&T,TP Hồ Chí Minh,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TẬP ĐOÀN T&T TẠI THÀNH PHỐ HẢI PHÒNG,0100233223-005,NGUYỄN XUÂN SƠN,"Số 10 Phố Minh Khai, Phường Minh Khai, Quận Hồng Bàng, Thành phố Hải Phòng, Việt Nam",Công ty Cổ phần Tập đoàn T&T,Hải Phòng,
"CÔNG TY TNHH TƯ VẤN ĐẦU TƯ BẤT ĐỘNG SẢN T & T (ĐÃ CHUYỂN THÀNH CÔNG TY CỔ PHẦN PHÁT TRIỂN ĐÔ THỊ VÀ KHU CÔNG NGHIỆP T&T, SỐ 0103021249)",0100233223-006,Đỗ Quang Hiển,"Số 43E, phố Ngô Quyền, Phường Hàng Bài, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",Công ty Cổ phần Tập đoàn T&T,Hà Nội,
CÔNG TY TNHH PHÁT TRIỂN BÓNG ĐÁ T& T,0100233223-009,Đỗ Quang Hiển,"Số 18 phố Hàng Chuối,p. Phạm Đình Hổ - - Quận Hai Bà Trưng - Hà Nội.",Công ty Cổ phần Tập đoàn T&T,Hà Nội,Hoạt động dịch vụ phục vụ cá nhân khác còn lại chưa được phân vào đâu
NHÀ NGHỈ CẨM NGỌC XANH - CỬA HÀNG VĂN PHÒNG PHẨM - CÔNG TY LÂM NGHIỆP CẨM NGỌC,2600357502-033,Lê Đức Thọ,Tổ 9 - Thị trấn Cẩm Thủy - Huyện Cẩm Thuỷ - Thanh Hoá.,Tổng Công ty Giấy Việt Nam,Thanh Hoá,
VĂN PHÒNG ĐẠI DIỆN TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ TÂN HIỆP PHÁT,0301387752-002,TRẦN NGỌC BÍCH,"151 Nơ Trang Long, Phường 12, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ TÂN HIỆP PHÁT,TP Hồ Chí Minh,
CHI NHÁNH BÌNH TRIỆU - CÔNG TY CỔ PHẦN Ô TÔ TRƯỜNG HẢI,3600252847-002,NGUYỄN THIỆN MỸ,"153 Quốc lộ 13, Khu phố 1, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,TP Hồ Chí Minh,"Bán mô tô, xe máy"
CHI NHÁNH AN SƯƠNG - CÔNG TY CỔ PHẦN Ô TÔ TRƯỜNG HẢI (TỈNH ĐỒNG NAI),3600252847-006,NGUYỄN THIỆN MỸ,"2921 Quốc lộ 1A, Phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,TP Hồ Chí Minh,Bán buôn ô tô và xe có động cơ khác
CHI NHÁNH BÌNH TÂN - CÔNG TY CỔ PHẦN Ô TÔ TRƯỜNG HẢI (TỈNH ĐỒNG NAI),3600252847-008,NGUYỄN THIỆN MỸ,"75 Võ Văn Kiệt, Khu phố 3, Phường An Lạc, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,TP Hồ Chí Minh,Bán buôn ô tô và xe có động cơ khác
ĐỊA ĐIỂM KINH DOANH CHI NHÁNH ĐÀ NẴNG XE THƯƠNG MẠI - CÔNG TY CỔ PHẦN ÔTÔ TRƯỜNG HẢI,3600252847-028,NGUYỄN THIỆN MỸ,"405 Tôn Đức Thắng, Phường Hoà Minh, Quận Liên Chiểu, Thành phố Đà Nẵng, Việt Nam",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,Đà Nẵng,
VĂN PHÒNG ĐẠI DIỆN TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,3600252847-029,PHẠM VĂN TÀI,"Số 10, Đường Mai Chí Thọ, Phường Thủ Thiêm, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,TP Hồ Chí Minh,
CHI NHÁNH TRƯỜNG CHINH - CÔNG TY CỔ PHẦN ÔTÔ TRƯỜNG HẢI,3600252847-033,NGUYỄN THIỆN MỸ,"827A - 829 Trường Chinh, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,TP Hồ Chí Minh,Bán buôn ô tô và xe có động cơ khác
VĂN PHÒNG ĐẠI DIỆN KHU VỰC TRUNG BỘ - CÔNG TY CỔ PHẦN Ô TÔ TRƯỜNG HẢI,3600252847-046,ĐẶNG VĂN QUẢNG,"405 Tôn Đức Thắng, Phường Hoà Minh, Quận Liên Chiểu, Thành phố Đà Nẵng, Việt Nam",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,Đà Nẵng,
VĂN PHÒNG ĐẠI DIỆN TẠI CHU LAI - CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,3600252847-047,NGUYỄN QUANG BẢO,"Khu công nghiệp Tam Hiệp, Xã Tam Hiệp, Huyện Núi Thành, Tỉnh Quảng Nam, Việt Nam",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,Quảng Nam,
CHI NHÁNH LONG AN - CÔNG TY CỔ PHẦN ÔTÔ TRƯỜNG HẢI,3600252847-054,NGUYỄN THIỆN MỸ,"Lô CC3, Khu đô thị Trung tâm hành chính tỉnh Long An, Phường 6, Thành phố Tân An, Tỉnh Long An, Việt Nam",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,Long An,
CHI NHÁNH THANH TRÌ - CÔNG TY CỔ PHẦN ÔTÔ TRƯỜNG HẢI,3600252847-055,NGUYỄN THIỆN MỸ,"Km12, Quốc lộ 1A, đường Ngọc Hồi, Xã Tứ Hiệp, Huyện Thanh Trì, Thành phố Hà Nội, Việt Nam",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,Hà Nội,
CHI NHÁNH BMW PHÚ MỸ HƯNG - CÔNG TY CỔ PHẦN ÔTÔ TRƯỜNG HẢI,3600252847-057,NGUYỄN THIỆN MỸ,"Số 808 đường Nguyễn Văn Linh, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,TP Hồ Chí Minh,
CHI NHÁNH PEUGEOT THANH XUÂN - CÔNG TY CỔ PHẦN ÔTÔ TRƯỜNG HẢI,3600252847-058,NGUYỄN THIỆN MỸ,"Số 12 Đường Khuất Duy Tiến, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,Hà Nội,
CHI NHÁNH BMW LÊ VĂN LƯƠNG - CÔNG TY CỔ PHẦN ÔTÔ TRƯỜNG HẢI,3600252847-064,NGUYỄN THIỆN MỸ,"Số 68 Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,Hà Nội,
ĐỊA ĐIỂM KINH DOANH CHI NHÁNH CẦN THƠ - CÔNG TY CỔ PHẦN Ô TÔ TRƯỜNG HẢI,3600252847-066,,Khu dân cư lô số 49 - Khu đô thị mới Nam sông Cần Thơ - Phường Hưng Phú - Quận Cái Răng - Cần Thơ.,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,Cần Thơ,
CHI NHÁNH KON TUM - CÔNG TY CỔ PHẦN ÔTÔ TRƯỜNG HẢI,3600252847-070,NGUYỄN THIỆN MỸ,"Số 609 Phan Đình Phùng, Phường Duy Tân, Thành phố Kon Tum, Tỉnh Kon Tum, Việt Nam",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,Kon Tum,
ĐỊA ĐIỂM KINH DOANH SỐ 3 CN VĨNH LONG - CTY CỔ PHẦN Ô TÔ TRƯỜNG HẢI,3600252847-071,Phạm Phú Vinh,đường Lý Thường Kiệt - Phường 1 - Thành phố Cao Lãnh - Đồng Tháp.,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,Đồng Tháp,
ĐỊA ĐIỂM KINH DOANH SỐ 3 CHI NHÁNH TIỀN GIANG - CÔNG TY CỔ PHẦN Ô TÔ TRƯỜNG HẢI,3600252847-072,Nguyễn Thiện Mỹ,"Quốc lộ 60, thửa đất số 27, tờ bản đồ số 12, khu phố 1 - Phường Phú Tân - Thành phố Bến Tre - Bến Tre.",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,Bến Tre,
ĐỊA ĐIỂM KINH DOANH SỐ 5 CHI NHÁNH VĨNH LONG- CÔNG TY CỔ PHẦN Ô TÔ TRƯỜNG HẢI,3600252847-074,Nguyễn Thiện Mỹ,"Võ Nguyên Giáp, khóm 1 - Phường 8 - Thành phố Trà Vinh - Trà Vinh.",CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,Trà Vinh,
ĐỊA ĐIỂM KINH DOANH SỐ 1 CHI NHÁNH PHAN THIẾT - CÔNG TY CP Ô TÔ TRƯỜNG HẢI,3600252847-075,Nguyễn Thiện Mỹ,Quốc lộ 1A thôn Tân Sơn 1 - Xã Thành Hải - TP. Phan Rang-Tháp Chàm - Ninh Thuận.,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,Ninh Thuận,
ĐỊA ĐIỂM KINH DOANH SỐ 4 CN VĨNH LONG - CÔNG TY CỔ PHẦN Ô TÔ TRƯỜNG HẢI,3600252847-076,Nguyễn Thiện Mỹ,ấp An Lạc - Xã An Bình - Huyện Cao Lãnh - Đồng Tháp.,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,Đồng Tháp,
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - TRUNG TÂM BẢO HÀNH PNJ,0300521758-001,NGUYỄN VĂN TỈNH,"362A Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CP VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN,TP Hồ Chí Minh,
CỬA HÀNG SỐ 2,0300521758-002,,128 Phan Đình Phùng - - Quận Phú Nhuận - TP Hồ Chí Minh.,CÔNG TY CP VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN,TP Hồ Chí Minh,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - CỬA HÀNG TRANG SỨC PNJ,0300521758-005,Trần Thị Thu Hà,"Shop GF-8, Tầng trệt, Siêu thị Co.op Mart Quang Trung, Số 304A Quang Trung, Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CP VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN,TP Hồ Chí Minh,
CN CÔNG TY VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN TẠI HÀ NỘI,0300521758-007,Phạm Thuỳ Dung,37B Trần Nhân Tông - - Quận Hai Bà Trưng - Hà Nội.,CÔNG TY CP VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN,Hà Nội,"Sản xuất đồ kim hoàn, đồ giả kim hoàn và các chi tiết liên quan"
CỬA HÀNG KIM CƯƠNG VÀ NỮ TRANG PNJ,0300521758-010,Cao Thị Ngọc Dung,57-69 Đồng Khởi Gian Hàng 20A-21A - - Quận 1 - TP Hồ Chí Minh.,CÔNG TY CP VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN,TP Hồ Chí Minh,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - TRUNG TÂM KIM HOÀN PNJ,0300521758-011,TRẦN THỊ THU HÀ,"Số 508-510 Lý Thường Kiệt, Phường 7, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CP VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN,TP Hồ Chí Minh,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu
CỬA HÀNG NỮ TRANG PNJ BÀN CỜ,0300521758-014,Đỗ Thị Cẩm Vân,648 Nguyễn Đình Chiểu P.03 - - Quận 3 - TP Hồ Chí Minh.,CÔNG TY CP VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN,TP Hồ Chí Minh,Bán lẻ hàng hóa khác trong các cửa hàng chuyên doanh
