Nha_thuoc,Dia_chi,dien_thoai
Nhà Thuốc Văn Thơm,"91, Nguyễn Huệ, Phú Sơn, Bỉm Sơn, Thanh Hóa",0934669363
NT Hoàng Anh,"Số 90, Trần Phú, Ba Đình, Bỉm Sơn, Thanh Hóa",0918824659
NT Minh Thịnh,"Số 225, Khu 13, Nguyễn Văn Cừ, Ngọc Trạo, Bỉm Sơn, Thanh Hóa",0964577588
NT Nhân Dân 1,"243, Nguyễn Huệ, Phú Sơn, Bỉm Sơn, Thanh Hóa",0374360675
NT Tấn Phát,"Số 558 Khu 4,Đường Trần Phú, Lam Sơn, Bỉm Sơn, Thanh Hóa",0985745983
QT Số 19 - DS Nguyễn Thị Ngát,"Cổng Chợ Ruồi, Khu 6, Cổng Chợ Ruồi, Lam Sơn, Bỉm Sơn, Thanh Hóa",0919389017
Quầy thuốc Thúy Nga,"Số 61, Hai Bà Trưng, Lam Sơn, Bỉm Sơn, Thanh Hóa",0395613904
Nhà Thuốc Nhật Lệ,"Đại Đồng 1+2, Cẩm Sơn, Cẩm Thủy, Thanh Hóa",0972230096
QT Anh Tuấn,"Làng Nga Hạ, Cẩm Ngọc, Cẩm Thủy, Thanh Hóa",0966885128
QT số 20,"Thôn 3, Cẩm Ngọc, Cẩm Thủy, Thanh Hóa",0395040191
QT Xuân Huyền,"Số 72, Tổ 7, Cẩm Thủy, Cẩm Thủy, Thanh Hóa",0328545066
QT Ý Vần,"Làng Sống, Cẩm Ngọc, Cẩm Thủy, Thanh Hóa",0969848259
Quầy thuốc Hòa Khoan,"Số 36, Tổ 7, Cẩm Thủy, Cẩm Thủy, Thanh Hóa",0393668507
Quầy Thuốc Lê Thị Thoa,"Thôn Đồng Chạ, Cẩm Phong, Cẩm Thủy, Thanh Hóa",0975246075
Quầy thuốc số 13 CNDP Cẩm Thủy,"Thôn Hoàng Giang 1, Cẩm Sơn, Cẩm Thủy, Thanh Hóa",0947184509
Quầy Thuốc Số 14,"Phố Vạc, Cẩm Thành, Cẩm Thủy, Thanh Hóa",0917957333
Chi nhánh dược phẩm Đông Sơn Quầy thuốc Tám Ninh,"Đông Ninh, Đông Sơn, Thanh Hóa",0363980999
CNDP Đông Sơn - Quầy thuốc Phương Thảo,"Thôn Yên Doãn 2 , Đông Yên, Đông Sơn, Thanh Hóa",0984815984
CNDP Đông Sơn NT GPP Số 01,"Phố Cao Sơn, Rừng Thông, Đông Sơn, Thanh Hóa",0912959390
CNDP Đông Sơn QT số 15,"Khu Phố Nhuệ Sâm, Rừng Thông, Đông Sơn, Thanh Hóa",0984567108
QT Trịnh Nhàn,"Đội 6, Đông Hoàng, Đông Sơn, Thanh Hóa",0984187046
Quầy Thuốc Minh Quang,"Nhuệ Sâm, Rừng Thông, Đông Sơn, Thanh Hóa",0989462913
Quầy Thuốc Hồ Thị Mai,"chợ huyện Thị Trấn Rừng Thông, Rừng Thông, Đông Sơn, Thanh Hóa",0932330878
Quầy thuốc số 09,"Xóm Lăng, Đông Nam, Đông Sơn, Thanh Hóa",0983437035
Quầy thuốc tân dưọc số 11,"Xóm 11, Đông Khê, Đông Sơn, Thanh Hóa",0386339897
Quầy Thuốc Tuấn Mai,"Đại Từ 1, Đông Thịnh, Đông Sơn, Thanh Hóa",0914520646
Nhà thuốc Lê Chân,"Số 101, Tiểu Khu 4, Hà Trung, Hà Trung, Thanh Hóa",0389957629
Nhà thuốc Mai Cân,"Số 33, Hòa Bình, Hà Trung, Hà Trung, Thanh Hóa",0379240915
Nhà Thuốc Ngọc Hải Thanh Tâm,"Chợ Đò Lèn, Hà Trung, Hà Trung, Thanh Hóa",0975975944
NT An Lành,"7, Hà Bắc, Hà Trung, Thanh Hóa",0986001844
NT Phương Thảo - DS Đặng Thị Thảo,"Đường 7, Hà Long, Hà Trung, Thanh Hóa",0982766830
QT Hà Huế,"Bắc Sơn, Hà Bắc, Hà Trung, Thanh Hóa",0917945626
QT Lan Luyến,"Kiot 5, Chợ Đò Lèn, Hà Trung, Hà Trung, Thanh Hóa",0869728825
QT Thắng Nguyệt,"Chợ Phong Vận, Hà Phong, Hà Trung, Thanh Hóa",0982681445
Quầy Thuốc Hà Phương,"Số 4, Hoàng Hoa Thám, Hà Trung, Hà Trung, Thanh Hóa",0362631678
Quầy thuốc Hoài Thương,"Số 103, Tiểu Khu 4, Hà Trung, Hà Trung, Thanh Hóa",0913104098
Quầy thuốc Hương Tân,"Đường 217, Hà Trung, Hà Trung, Thanh Hóa",0976245334
CNDP Hậu Lộc - QT Số 6 đạt chuẩn GPP,"Hoa Trung, Hoa Lộc, Hậu Lộc, Thanh Hóa",0918582861
CTCP VTYT Thanh Hóa CN DP Hậu Lộc ĐL bán lẻ thuốc số 16 NPT: Trần Thị Bình,"Khu 2, Hậu Lộc, Hậu Lộc, Thanh Hóa",0979444495
CTCP VTYT Thanh Hóa CN DP Hậu Lộc Quầy Thuốc GPP số 01,"SN 592, Khu Tân Mỹ, Bà Triệu, Hậu Lộc, Hậu Lộc, Thanh Hóa",0986826858
NT An Phúc - Hậu Oanh 6,"Số nhà 11 , Khu DVMT Chợ Chiều, Hậu Lộc, Hậu Lộc, Thanh Hóa",0358605888
QT Bình Minh,"Minh Thắng, Minh Lộc, Hậu Lộc, Thanh Hóa",0989041676
QT Bình Minh 2,"Thôn Thắng Tây, Ngư Lộc, Hậu Lộc, Thanh Hóa",0973951609
QT đạt chuẩn GPP An Phúc,"Thôn Tinh Anh, Văn Lộc, Hậu Lộc, Thanh Hóa",0365832999
QT Hà Hinh,"Minh Thanh, Minh Lộc, Hậu Lộc, Thanh Hóa",0912395228
QT Hậu Oanh,"Thôn Yên Hòa, Hưng Lộc, Hậu Lộc, Thanh Hóa",0946326251
QT Minh Bốn,"Thuần Lộc, Hậu Lộc, Thanh Hóa",0338904024
QT Sức Khỏe Cộng Đồng,"Thôn Hoa Phú, Hoa Lộc, Hậu Lộc, Thanh Hóa",0366689867
QT tân dược Hữu Mai,"Thôn đại Hữu, Mỹ Lộc, Hậu Lộc, Thanh Hóa",0912786020
Quầy thuốc Bình Minh Xanh,"thôn Tân Hải, Hải Lộc, Hậu Lộc, Thanh Hóa",0989041676
Quầy thuốc Lưu Thị Dung,"Thôn Trung Phú, Thịnh Lộc, Hậu Lộc, Thanh Hóa",0915992980
Quầy thuốc Mai Hiền,"Thôn Thành Lập, Ngư Lộc, Hậu Lộc, Thanh Hóa",0974979303
Quầy thuốc số 38,"Thôn Giữa, Phú Lộc, Hậu Lộc, Thanh Hóa",0776262863
Quầy thuốc Thanh Tứ,"Khu Tân Mỹ, Hậu Lộc, Hậu Lộc, Thanh Hóa",0826905345
Quầy thuốc Thọ Hợp,"chợ cồn cao, Hoa Lộc, Hậu Lộc, Thanh Hóa",0972991258
Quầy Thuốc Tuyên Quý,"Hoa Trung, Hoa Lộc, Hậu Lộc, Thanh Hóa",0978388117
Công Ty TNHH Dưọc An KhangQuầy thuốc Ngọc Lan,"Thôn Đại An, Hoằng Lương, Hoằng Hóa, Thanh Hóa",0966988156
Nhà thuốc Thanh Phương,"72, Phố Vinh Sơn, Bút Sơn, Hoằng Hóa, Thanh Hóa",0354414939
NT Hoàng Yến,"Thôn Đình Bảng, Hoằng Lộc, Hoằng Hóa, Thanh Hóa",0376304985
QT Anh Đạt,"36 , thôn 3, ĐT510B, Hoằng Ngọc, Hoằng Hóa, Thanh Hóa",0982373181
QT Cô Phê,"36, Phố Vinh Sơn, Bút Sơn, Hoằng Hóa, Thanh Hóa",0948028404
QT Cường Ngân,"Thôn 4, Hoằng Ngọc, Hoằng Hóa, Thanh Hóa",0936100508
QT đạt chuẩn GPP DS: Mai Thị Hải,"Phố Vinh Sơn, Bút Sơn, Hoằng Hóa, Thanh Hóa",0347762999
QT đạt chuẩn GPP Hạnh Lý,"Thôn Đình Sen, Hoằng Phong, Hoằng Hóa, Thanh Hóa",0984482908
QT Lê Thị Hằng. DSPT: Lê Thị Hằng,"Đội 1, Hoằng Thành, Hoằng Hóa, Thanh Hóa",0978331976
QT Long Nghĩa,"SN 253, phố Trung Hy, Bút Sơn, Hoằng Hóa, Thanh Hóa",0914857596
QT Năm Lâm,"Thôn Đằng Trung, Hoằng Đạo, Hoằng Hóa, Thanh Hóa",0989385553
QT Phúc An DS Phạm Thị Hằng,"Chợ Già, Hoằng Kim, Hoằng Hóa, Thanh Hóa",0986521151
QT Sáu Sen,"350, Phố Đạo Sơn, Bút Sơn, Hoằng Hóa, Thanh Hóa",0934349599
QT Vân Tâm,"29, thôn Hiền Thôn, ĐT510, Hoằng Đạo, Hoằng Hóa, Thanh Hóa",0976113456
Quầy thuốc Hoàn An,"SN 84, QL10, P.Trung Hy, Bút Sơn, Hoằng Hóa, Thanh Hóa",0372497193
Quầy thuốc Huệ Căn,"40, Phố Đức Sơn, Bút Sơn, Hoằng Hóa, Thanh Hóa",0912028512
Quầy thuốc Lương Lan,"Thôn 3, Hoằng Thái, Hoằng Hóa, Thanh Hóa",0344724598
Quầy thuốc Nam Thúy,"SN 96, đường ĐT.510 , thôn Tứ Luyện , Hoằng Đạo, Hoằng Hóa, Thanh Hóa",0389563512
Quầy thuốc Nhân Tâm,"Chợ mới, Hoằng Trạch, Hoằng Hóa, Thanh Hóa",0966054581
Quầy thuốc San Dịu,"Đội 7, chợ Đền, Hoằng Thắng, Hoằng Hóa, Thanh Hóa",0975584785
Quầy thuốc Tiến Tuyết,"Chợ Già, Hoằng Kim, Hoằng Hóa, Thanh Hóa",0986155482
Quầy thuốc Tiến Tuyết,"SN 163, Đường HH06 , thôn Sao Vàng 1, Hoằng Quý, Hoằng Hóa, Thanh Hóa",0986155482
Quầy thuốc Tuyết Đông,"SN 88, Đường HP3, thôn Nam Hạc, Hoằng Phong, Hoằng Hóa, Thanh Hóa",0327042631
"Cty CPVTYT Thanh Hóa, CNDP Lang Chánh- NT GPP: số 01","Số nhà 1, Lang Chánh, Lang Chánh, Thanh Hóa",0974856270
QT Chính Muôn số 05,"Phố Lê Lai, Lang Chánh, Lang Chánh, Thanh Hóa",0987473973
CNDP Nga Sơn QT Hoàng Thị Cúc,"Số 205, Tiểu Khu Hưng Long, Nga Sơn, Nga Sơn, Thanh Hóa",0983132973
CNDP Nga Sơn QT Mai Thị Minh,"Số 205, Tiểu Khu Hưng Long, Nga Sơn, Nga Sơn, Thanh Hóa",0973966705
Công Ty CPDP Hưng Thịnh QT Số 01,"Số 207, Tiểu Khu Hưng Long, Nga Sơn, Nga Sơn, Thanh Hóa",0945900986
CTY CPDP Hưng Thịnh Quầy bán thuốc Quầy số 9,"TK Mỹ Hạnh, Nga Sơn, Nga Sơn, Thanh Hóa",0982586799
Nhà Thuốc Hoàng Anh 2,"Xóm 5, Nga Yên, Nga Sơn, Thanh Hóa",0918824659
Nhà Thuốc An Hiển,"Xóm 5, Nga Yên, Nga Sơn, Thanh Hóa",0975483368
QT Anh Hoa,"Số 57, Tiểu Khu 3, Nga Sơn, Nga Sơn, Thanh Hóa",0977740355
QT Linh Tính,"Xóm 8, Nga Yên, Nga Sơn, Thanh Hóa",0932347393
QT Mai Khương,"Xóm 6, Nga Liên, Nga Sơn, Thanh Hóa",0393379593
QT Mai Thị én,"Xóm 6, Nga Trường, Nga Sơn, Thanh Hóa",0975186995
QT Thu Mâu,"Xóm 2, Nga Thanh, Nga Sơn, Thanh Hóa",0963955800
Quầy thuốc Nhạ Kết,"Số 211, Tiểu Khu Hưng Long, Nga Sơn, Nga Sơn, Thanh Hóa",0948213040
Quầy Thuốc Trần Quang Khương,"Xóm 8, Nga Liên, Nga Sơn, Thanh Hóa",0384408136
Chi Nhánh dược Phẩm Ngọc Lặc Quầy thuốc Lê Thị Liên,"Số 12, Phố Lê Duẩn, Ngọc Lặc, Ngọc Lặc, Thanh Hóa",0392564333
Chi Nhánh dược phẩm Ngọc LặcQuầy thuốc Lê Thị Mai,"Số 14, Phố Lê Duẩn, Ngọc Lặc, Ngọc Lặc, Thanh Hóa",0372288360
Chi Nhánh dược phẩm Ngọc LặcQuầy thuốc Mai Thị Hiền,"Số 10, Lê Duẩn, Ngọc Lặc, Ngọc Lặc, Thanh Hóa",0989165795
Quầy thuốc số 18,"Số 6, Lê Duẩn, Ngọc Lặc, Ngọc Lặc, Thanh Hóa",0855828486
Chi nhánh dược phẩm Như Thanh Quầy thuốc số 1,"Khu phố 1, Bến Sung, Như Thanh, Thanh Hóa",0967383355
QT Đỗ Thị Thúy,"kiot số 8 chợ, Bến Sung, Như Thanh, Thanh Hóa",0914309285
Quầy Thuốc Phạm Thị Ngần,"vĩnh long 1, Bến Sung, Như Thanh, Thanh Hóa",0984445025
Chi nhánh Dược Như XuânQuầy thuốc Chung Lực,"phố 3, Yên Cát, Như Xuân, Thanh Hóa",0988243148
Chi Nhánh Duợc Phẩm Như Xuân Quầy thuốc Cao Thị Thảo,"chợ yên cát, Yên Cát, Như Xuân, Thanh Hóa",0944081025
Chi nhánh dược Nông CốngQuầy Thuốc số 58,"đội 6, Trung Chính, Nông Cống, Thanh Hóa",0985265918
Chi nhánh dược phẩm Nông Cống Đại lý số 03,"681, đông hòa, Nông Cống, Nông Cống, Thanh Hóa",0913839587
CN Dược Nông Cống QT GPP số 1,"minh tân, Nông Cống, Nông Cống, Thanh Hóa",0388523278
CNDP Nông Cống - QT Số 93,"Thôn Doãn Hiền, Vạn Thắng, Nông Cống, Thanh Hóa",0332477609
CNDP Nông CốngQuầy thuốc số 20,"638, lam sơn, Nông Cống, Nông Cống, Thanh Hóa","0348075403, 02373839815"
Nhà thuốc Dung Hội,"630, Bà Triệu, Nông Cống, Nông Cống, Thanh Hóa",0974547939
QT Chung Hợp,"Số 674, nam giang, Nông Cống, Nông Cống, Thanh Hóa",0988345167
QT Hợp Yến,"vạn thành, Thăng Long, Nông Cống, Thanh Hóa",0971810093
QT Khánh Thành,"Số 19, nam tiến, Nông Cống, Nông Cống, Thanh Hóa",0826883636
QT Khánh Thủy,"thôn 11, Minh Khôi, Nông Cống, Thanh Hóa",0385855650
QT Lê Thị Hoa,"Thôn 3, Hoàng Giang, Nông Cống, Thanh Hóa",0911102036
QT Mạnh Hằng,"thôn 1 , Tế Thắng, Nông Cống, Thanh Hóa",0347443452
QT Ninh Thuật,"Số 99, Bà Triệu, Nông Cống, Nông Cống, Thanh Hóa",0945388377
QT Số 102 CNDP Nông Cống,"thôn 3, Hoàng Giang, Nông Cống, Thanh Hóa",0984834080
QT Thành Hoa,"chùa thông, Tế Lợi, Nông Cống, Thanh Hóa",0834199676
Quầy thuốc An Khang,"thị tứ trường sơn, Trường Sơn, Nông Cống, Thanh Hóa",0985653282
Quầy thuốc Cường Hoan,"thôn 3, Thăng Long, Nông Cống, Thanh Hóa",0974545548
Quầy thuốc Giáp Duyên,"Thôn 9, Minh Khôi, Nông Cống, Thanh Hóa",0989476972
Quầy Thuốc Ngọc Hải,"chợ thượng, Trung Chính, Nông Cống, Thanh Hóa",0977222502
Quầy thuốc Ngọc Mai,"99, tiểu khu Tập Cát 1, Nông Cống, Nông Cống, Thanh Hóa",0914479968
Quầy thuốc Phương Dung,"chợ trường sơn, Trường Sơn, Nông Cống, Thanh Hóa",0973833034
Quầy thuốc số 10,"cầu quan, Trung Thành, Nông Cống, Thanh Hóa",0354433779
Quầy thuốc số 51,"thôn 2, Tế Thắng, Nông Cống, Thanh Hóa",0986129462
Quầy thuốc Thu Thủy,"thôn 6, Minh Nghĩa, Nông Cống, Thanh Hóa",0367795546
Quầy thuốc Trì Lan,"đồng thọ, Vạn Hòa, Nông Cống, Thanh Hóa",0912721338
Quầy thuốc Trường Thọ,"Chợ Ga, Thái Tượng, Tượng Sơn, Nông Cống, Thanh Hóa",0979463918
HT Quan Sơn- QT Số 2 Bán Thuốc Chữa Bệnh,"Khu 3, Quan Sơn, Quan Sơn, Thanh Hóa",0969637388
Chi nhánh Dược Phẩm Quảng Xương Quầy số 01,"Số 15, phố 1, Quảng Xương, Quảng Xương, Thanh Hóa",0975369196
"Chi nhánh dược phẩm Quảng Xương, nhà thuốc GPP số 1A","Thôn Dục Tú, thị trấn Tân Phong, Quảng Phong, Quảng Xương, Thanh Hóa",0949155439
CNDP Quảng Xương NT GPP Số 1B,"Thôn Dục Tú, Quảng Xương, Quảng Xương, Thanh Hóa",0353648120
Nhà thuốc Khoa Lài,"Tổ Dân phố Trung Phong, Quảng Xương, Quảng Xương, Thanh Hóa",0977038878
Nhà thuốc Nhất Nhất,"chợ trôi, Quảng Văn, Quảng Xương, Thanh Hóa",0985078082
Nhà thuốc Tiến Minh,"thôn Tri Hòa, Quảng Xương, Quảng Xương, Thanh Hóa",0913489078
Nhà Thuốc Tư Thương,"Thôn Cống Trúc, Quảng Bình, Quảng Xương, Thanh Hóa",0975103029
QT Bình Lợi,"95, thị trấn Tân Phong, tân phong, Quảng Xương, Quảng Xương, Thanh Hóa",0985966557
QT Chị Hằng,"chợ ghép, Quảng Chính, Quảng Xương, Thanh Hóa",0387301732
QT Hoàng Hạnh,"17, thị trấn Tân Phong, phố 1, Quảng Xương, Quảng Xương, Thanh Hóa",0982242040
QT Linh Trang,"Thôn Tân Hưng, Thị Trấn Tân Phong, Quảng Xương, Quảng Xương, Thanh Hóa",0353798696
Quầy thuốc Bùi Thị Thương,"thôn 6, Quảng Lưu, Quảng Xương, Thanh Hóa",0979212815
Quầy thuốc Dân Hương,"Thôn Thủ Lộc, xã Tiên Trang, Quảng Lợi, Quảng Xương, Thanh Hóa",0338673757
Quầy thuốc Hùng Nga,"thôn 7, Quảng Lộc, Quảng Xương, Thanh Hóa",0987661109
Quầy thuốc Hương Anh,"TDP Trung Phong, Quảng Xương, Quảng Xương, Thanh Hóa",0949788456
Quầy thuốc Mai Hương,"cống trúc, Quảng Bình, Quảng Xương, Thanh Hóa",0904968510
Quầy Thuốc Nga Vọng,"Thôn Châu Thành, Quảng Trường, Quảng Xương, Thanh Hóa",0986138128
Quầy thuốc Thanh Liên,"Chợ Sô Tô, xã Tiên Trang, Quảng Lợi, Quảng Xương, Thanh Hóa",0986372916
Quầy Thuốc Thu Thủy,"Tân Hưng, Thị trấn Tân Phong, Quảng Tân, Quảng Xương, Thanh Hóa",0904971686
Quầy thuốc Thủy Đăng,"cống trúc, Quảng Ninh, Quảng Xương, Thanh Hóa",0977789909
Quầy thuốc Tuấn Hiền,"Số 40, Tố Hữu, Quảng Xương, Quảng Xương, Thanh Hóa",0394734442
Quầy thuốc Tuấn Thủy,"Thôn Dục Tú, thị trấn Tân Phong, Quảng Xương, Quảng Xương, Thanh Hóa",0977729747
Nhà Thuốc Bệnh Viện,"83B, Đường Nguyễn Du, Bắc Sơn, Sầm Sơn, Thanh Hóa",0383689436
Nhà thuốc Nhi An,"Số 201, Đường Nguyễn Trãi, Bắc Sơn, Sầm Sơn, Thanh Hóa",0982075415
Nhà Thuốc Quỳnh Anh,"Số 116, Đ.Trần Hưng Đạo, Quảng Tiến, Sầm Sơn, Thanh Hóa",0975684451
Nhà Thuốc Thảo Vy,"Kiot số 2, Chợ Cột Đỏ, Chợ Cột Đỏ, Trường Sơn, Sầm Sơn, Thanh Hóa",0339591998
NT đạt chuẩn GPP Trung Linh Pharmacy,"Lô 40, Đường Bà Triệu, Bắc Sơn, Sầm Sơn, Thanh Hóa",0979151533
NT Lân Thủy,"Đ.Nguyễn Du, KP Hoan Kính, Trung Sơn, Sầm Sơn, Thanh Hóa",0984623217
NT Thanh Thanh,"Kiot 34, Chợ Cột Đỏ, Trường Sơn, Sầm Sơn, Thanh Hóa",0983173058
NT Thu Hường,"KP Minh Cát, Quảng Cư, Sầm Sơn, Thanh Hóa",0962600858
NT Tiến Đạt,"Đ.Hoàng Hoa Thám, KP Thanh Thái, Quảng Cư, Sầm Sơn, Thanh Hóa",0988975326
Quầy thuốc Minh Thúy,"Thôn 6, Quảng Hùng, Sầm Sơn, Thanh Hóa",0972711599
Chi nhánh Dược Phẩm Thạch Thành Quầy thuốc số 5 Nguyễn Thanh Vân,"SN 40/11 Khu 5 Thị trấn Kim Tân, Kim Tân, Thạch Thành, Thanh Hóa",0974902122
Nhà Thuốc Trung Tâm,"Khu 5, Kim Tân, Thạch Thành, Thanh Hóa",0978413182
QT Anh Linh,"Nông Lý, Thành Tâm, Thạch Thành, Thanh Hóa",0962253186
QT Toàn Hằng,"Số 12, Tiểu Khu 6, Kim Tân, Thạch Thành, Thanh Hóa",0985321186
Quầy thuốc Trung Tâm 02,"Khu 5, Kim Tân, Thạch Thành, Thanh Hóa",0981030373
Chi nhánh dược phẩm Thanh niên Nhà thuốc số 07,"Số 250, Bà Triệu, Hàm Rồng, Thanh Hóa, Thanh Hóa",0968469126
CNDP Thọ Xuân QT Huyền Cường,"Khu 6, Lam Sơn, Thanh Hóa, Thanh Hóa",0948125521
Công ty CP dược VTYT Thanh Hóa Quầy thuốc Nguyễn Thị Đức,"Số 232, Trần Phú, Lam Sơn, Thanh Hóa, Thanh Hóa",0915656499
Công ty dược VTYT Thanh Hóa Quầy thuốc số 3-Thanh Hải,"Xóm cộng, Đông Tân, Thanh Hóa, Thanh Hóa",0977752657
Công Ty TNHH Dược An Khang,"Số 312, Lê Hoàn, Ba Đình, Thanh Hóa, Thanh Hóa",0916568498
Công ty TNHH Dược An Thịnh Dược sĩ Nguyễn Thị Tuyết,"Số 72, Nguyễn Trãi, Ba Đình, Thanh Hóa, Thanh Hóa",0978898894
Công ty TNHH dược ánh Dương Dược sĩ Tô Thị Vân,"Số 171, Hàn Thuyên, Ba Đình, Thanh Hóa, Thanh Hóa",0947445236
Công Ty TNHH Dược Phẩm Hà Thanh,"Số 11, Khu Đô THị Đông Sơn LK 17, An Hoạch, Thanh Hóa, Thanh Hóa",0982110206
Công ty TNHH dược phẩm Thái Bình,"Số 59, Phan Chu Trinh, Điện Biên, Thanh Hóa, Thanh Hóa",0982851305
Công Ty TNHH KG DS Nguyễn Thị Trà Giang,"Số 412, Lê Hoàn, Ba Đình, Thanh Hóa, Thanh Hóa",0948613888
Công ty TNHH TM Dược Phẩm Hạnh Hải Dược sĩ Lê Thị Hải,"Số 195-197, Nguyễn Trãi, Tân Sơn, Thanh Hóa, Thanh Hóa",0985773112
Nhà Thuốc Hiếu Thắm,"số 318, Lý Nhân Tông, Đông Thọ, Thanh Hóa, Thanh Hóa",0962315353
Nhà thuốc Bảo Ngân,"240B, Hải thượng lãn ông, Đông Vệ, Thanh Hóa, Thanh Hóa",0912084889
Nhà thuốc BIBOPHAR,"Số 191B, Lê Lai, Đông Sơn, Thanh Hóa, Thanh Hóa",0966607318
Nhà thuốc Binh Vân,"68c, Đường Thanh Chương, Quảng Thành, Thanh Hóa, Thanh Hóa",0986016626
Nhà thuốc Chung Hiền,"Nguyễn Trãi, Phú Sơn, Thanh Hóa, Thanh Hóa",0949629137
Nhà thuốc Chung Thủy Dược sĩ Lê Thị Thủy,"Số 2, Nguyễn Mộng Tuân, Nam Ngạn, Thanh Hóa, Thanh Hóa",0917566869
Nhà Thuốc Cường Vân,"Số 26, Trường Thi, Trường Thi, Thanh Hóa, Thanh Hóa",0914906655
Nhà thuốc Đại An Dược sĩ Nguyễn Thị Hoa,"Số 224, Tống Duy Tân, Lam Sơn, Thanh Hóa, Thanh Hóa",0373976552
Nhà thuốc Diệp Anh,"Kiốt Khách sạn Sao Mai, Điện Biên, Thanh Hóa, Thanh Hóa",0974854169
Nhà thuốc Dung Tuấn,"Phương Đình 2, Tào Xuyên, Thanh Hóa, Thanh Hóa",0914518838
Nhà Thuốc Giang Vinh,"Số 84, Trần Hưng Đạo, Nam Ngạn, Thanh Hóa, Thanh Hóa",0987370065
Nhà thuốc Hà Đua,"Số 196, Nguyễn Doán Chấp, Quảng Cát, Thanh Hóa, Thanh Hóa",0972201843
Nhà thuốc Hải Hà,"Đông Hương, Đông Hương, Thanh Hóa, Thanh Hóa",0762071679
Nhà thuốc Hải Ngọc Dược sĩ Nguyễn Thị Ngọc,"Số 33, Chu Văn An, Trường Thi, Thanh Hóa, Thanh Hóa",0383945046
Nhà thuốc Hoàng An,"Số 252, Trần Phú, Ba Đình, Thanh Hóa, Thanh Hóa",0947070787
Nhà thuốc Hoàng Mai,"600, Quang trung, Đông Vệ, Thanh Hóa, Thanh Hóa",0384404838
Nhà Thuốc Hùng Hiền,"Lô 29, Nguyễn Trãi, Phú Sơn, Thanh Hóa, Thanh Hóa",0912162913
Nhà thuốc Hương Ly,"2B, Tạ Quang Bửu, Nam Ngạn, Thanh Hóa, Thanh Hóa",0979492513
Nhà Thuốc Long Giang,"Lô 11, Đội Cung, Trường Thi, Thanh Hóa, Thanh Hóa",0912052959
Nhà Thuốc Long Hiền NDD : Đỗ Thị Hiền,"Số 234-236, Trần Phú, Lam Sơn, Thanh Hóa, Thanh Hóa","0912604074, 0943587101"
Nhà thuốc Minh Nguyệt Dược sĩ Nguyễn Trọng Thuỷ,"Số 458B, Nguyễn Trãi, Phú Sơn, Thanh Hóa, Thanh Hóa",0825355702
Nhà Thuốc Minh Quang,"Số 10, Cửa Tả, Lam Sơn, Thanh Hóa, Thanh Hóa",0912383388
Nhà thuốc Ngân Thùy,"585, Quang Trung 3, Đông Vệ, Thanh Hóa, Thanh Hóa",0962624233
Nhà thuốc Ngọc Sắc,"441 phố 1, Lê Lai, Quảng Hưng, Thanh Hóa, Thanh Hóa",0383008848
Nhà Thuốc Phong Thúy Dược sĩ Đỗ Thị Thúy,"Số 151, Trường Thi, Trường Thi, Thanh Hóa, Thanh Hóa",0912079567
Nhà thuốc Phong Tú,"Số 124, LK3, Đông Vệ, Thanh Hóa, Thanh Hóa",0989978930
Nhà Thuốc Phúc Đức,"969 , An Dương Vương , Quảng Đông, Thanh Hóa, Thanh Hóa",0942858988
Nhà Thuốc Tân Mỹ,"Số 212, Phố Môi, Quảng Tâm, Thanh Hóa, Thanh Hóa",0972981297
Nhà thuốc Thanh Bình Dược sĩ Nguyễn Thị Bình,"Số 138, Nguyễn Huệ, Ngọc Trạo, Thanh Hóa, Thanh Hóa",0902241224
Nhà thuốc Thanh Phượng,"Số 28b, Phạm Bành, Ngọc Trạo, Thanh Hóa, Thanh Hóa",0912236978
Nhà Thuốc Thảo Lan,"Số 162, Điình Hương, Đông Cương, Thanh Hóa, Thanh Hóa",0839832382
Nhà Thuốc Thảo Nhung,"Số 498, Nguyễn Trãi, Phú Sơn, Thanh Hóa, Thanh Hóa",0904794103
Nhà thuốc Thảo Vân,"Số 91, Đào Duy Từ, Ba Đình, Thanh Hóa, Thanh Hóa",0912601900
Nhà thuốc Thơm Văn,"1C , Trần Bình Trọng, Đông Sơn, Thanh Hóa, Thanh Hóa",0934438076
Nhà thuốc Toàn Nghĩa Dược sĩ Lê Thị Nghĩa,"Số 30, Quảng Xá, Đông Vệ, Thanh Hóa, Thanh Hóa",0398229022
Nhà thuốc Trường Huyền DS Phạm Thị Sâm,"36, Trường Thi, Trường Thi, Thanh Hóa, Thanh Hóa",0972124339
Nhà thuốc Vân Anh Dược sĩ Nguyễn Thị Vân Anh,"Số 183, Trần Phú, Ba Đình, Thanh Hóa, Thanh Hóa",0977789374
Nhà thuốc Xuân Quý Dược sĩ Cao Thị Tuyên,"119, Trường Thi, Trường Thi, Thanh Hóa, Thanh Hóa",0977043979
Nhà thuốc Yến Anh Dược sĩ Trịnh Thị Yến,"210, Trường Thi, Điện Biên, Thanh Hóa, Thanh Hóa",0986991273
NT Bảy Hường,"Số 326, Phố Trần Phú, Phú Sơn, Thanh Hóa, Thanh Hóa",0965647638
NT Châu Anh,"Số 240, Bạch Đằng, Quảng Hưng, Thanh Hóa, Thanh Hóa",0984509933
NT Chung Phương,"Số 03/958, Quang Trung, Đông Vệ, Thanh Hóa, Thanh Hóa",0393388465
