,Tên công ty,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh chính,Loại ngành nghề,Mã ngành nghề,Ngành nghề kinh doanh,Phường/Xã,Quận/Huyện,Tỉnh/Thành Phố,Mã tỉnh,Miền,URL,Trạng thái invoice,URL invoice,Tên invoice,Mã số thuế invoice ,Cảnh báo,Tên quốc tế,Tên viết tắt
285,TRƯỜNG CAO ĐẲNG CỘNG ĐỒNG ĐẮK NÔNG,6400402635,Tổ 6 - Phường Nghĩa Trung - Thành phố Gia Nghĩa - Đắk Nông.,Nguyễn Hữu Lành,02613 577 699,2019-01-11,Cục Thuế Tỉnh Đắk Nông,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Nghĩa Trung,Thành phố Gia Nghĩa,Đắk Nông.,DKN,MT,https://masothue.com/6400402635-truong-cao-dang-cong-dong-dak-nong,Không chứa thông tin hoá đơn,,,,,,
286,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ MIỀN ĐÔNG,3602501753,KP TRầN HưNG ĐạO - Thị trấn Dầu Giây - Huyện Thống Nhất - Đồng Nai.,Phạm Văn Song,0903 943 117/0987 60,2011-05-24,Cục Thuế Tỉnh Đồng Nai,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Thị trấn Dầu Giây,Huyện Thống Nhất,Đồng Nai.,DNI,MN,https://masothue.com/3602501753-truong-dai-hoc-cong-nghe-mien-dong,Hoá đơn giấy,https://masothue.com/3602199998-cong-ty-tnhh-in-l-b-t,CÔNG TY TNHH IN L.B.T,3602199998 - CÔNG TY TNHH IN L.B.T,,,
287,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ ĐỒNG NAI,3600756611,"Đường Nguyễn Khuyến, KP 5 - Phường Trảng Dài - Thành phố Biên Hoà - Đồng Nai.",Phan Ngọc Sơn,,2005-10-20,Chi cục Thuế khu vực Biên Hòa - Vĩnh Cửu,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Trảng Dài,Thành phố Biên Hoà,Đồng Nai.,DNI,MN,https://masothue.com/3600756611-truong-dai-hoc-cong-nghe-dong-nai,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
288,TRƯỜNG ĐẠI HỌC ĐỒNG NAI,3600674207,Khu Phố 3 - Phường Tân Hiệp - Thành phố Biên Hoà - Đồng Nai.,Lê Anh Đức,0613823110,,Cục Thuế Tỉnh Đồng Nai,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Tân Hiệp,Thành phố Biên Hoà,Đồng Nai.,DNI,MN,https://masothue.com/3600674207-truong-dai-hoc-dong-nai,Không chứa thông tin hoá đơn,,,,,,
289,TRƯỜNG CAO ĐẲNG MỸ THUẬT TRANG TRÍ ĐỒNG NAI,3600735805,"số 7, đường 30/4 - Phường Trung Dũng - Thành phố Biên Hoà - Đồng Nai.",Trương Đức Cường,0613829616,2005-07-27,Cục Thuế Tỉnh Đồng Nai,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Trung Dũng,Thành phố Biên Hoà,Đồng Nai.,DNI,MN,https://masothue.com/3600735805-truong-cao-dang-my-thuat-trang-tri-dong-nai,Hoá đơn giấy,https://masothue.com/3602199998-cong-ty-tnhh-in-l-b-t,CÔNG TY TNHH IN L.B.T,3602199998 - CÔNG TY TNHH IN L.B.T,,,
290,TRƯỜNG CAO ĐẲNG Y TẾ ĐỒNG NAI,3600360641,P.Tân Biên - - Thành phố Biên Hoà - Đồng Nai.,Nguyễn Văn Đắc,0613881390,,Cục Thuế Tỉnh Đồng Nai,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (được cấp thông báo MST),,,,,,,,,,https://masothue.com/3600360641-truong-cao-dang-y-te-dong-nai,Hoá đơn điện tử,https://masothue.com/0303549303-cong-ty-tnhh-phan-mem-va-tu-van-kim-tu-thap,CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,0303549303 - CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,,,
291,TRƯỜNG CAO ĐẲNG KỸ THUẬT ĐỒNG NAI,3600673203,"Số 88 Nguyễn Văn Hoa, KP1 - Phường Thống Nhất - Thành phố Biên Hoà - Đồng Nai.",Huỳnh Lê Tuấn Dũng,0613822254,2004-04-22,Cục Thuế Tỉnh Đồng Nai,"Tổ chức kinh tế của tổ chức CT, CT-XH, XH, XH-NN",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Thống Nhất,Thành phố Biên Hoà,Đồng Nai.,DNI,MN,https://masothue.com/3600673203-truong-cao-dang-ky-thuat-dong-nai,Không chứa thông tin hoá đơn,,,,,,
292,TRƯỜNG ĐẠI HỌC LẠC HỒNG,3600448014,Số 10 Đường Huỳnh Văn Nghệ - Phường Bửu Long - Thành phố Biên Hoà - Đồng Nai.,Đoàn Văn Điện,0613952033,2000-01-12,Cục Thuế Tỉnh Đồng Nai,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Bửu Long,Thành phố Biên Hoà,Đồng Nai.,DNI,MN,https://masothue.com/3600448014-truong-dai-hoc-lac-hong,Hoá đơn giấy,https://masothue.com/0301452923-van-phong-dai-dien-cong-ty-tnhh-giay-vi-tinh-lien-son-tai-dong-nai,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH GIẤY VI TÍNH LIÊN SƠN TẠI ĐỒNG NAI,0301452923 - VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH GIẤY VI TÍNH LIÊN SƠN TẠI ĐỒNG NAI,,,
293,TRƯỜNG CAO ĐẲNG CÔNG NGHỆ VÀ QUẢN TRỊ SONADEZI,3600788797,"Số 1 Đường 6 A, KCN Biên Hòa 2 - - Thành phố Biên Hoà - Đồng Nai.",Nguyễn Tiến Mạnh,0613994011,2006-03-01,Cục Thuế Tỉnh Đồng Nai,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/3600788797-truong-cao-dang-cong-nghe-va-quan-tri-sonadezi,Hoá đơn điện tử,https://masothue.com/0303549303-cong-ty-tnhh-phan-mem-va-tu-van-kim-tu-thap,CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,0303549303 - CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,,,
294,TRƯỜNG CAO ĐẲNG CÔNG NGHỆ QUỐC TẾ LILAMA 2,3600503177,Km 32 QL 51 - Xã Long Phước - Huyện Long Thành - Đồng Nai.,Nguyễn Khánh Cường,558658-558700,2001-08-09,Chi cục Thuế khu vực Long Thành - Nhơn Trạch,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Long Phước,Huyện Long Thành,Đồng Nai.,DNI,MN,https://masothue.com/3600503177-truong-cao-dang-cong-nghe-quoc-te-lilama-2,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
295,TRƯỜNG CAO ĐẲNG CƠ GIỚI VÀ THỦY LỢI,3603690849,"ấp Thanh Hóa, - Xã Hố Nai 3 - Huyện Trảng Bom - Đồng Nai.",Nguyễn Văn Chương,881005/881636,2019-12-09,Chi cục Thuế khu vực Trảng Bom - Thống Nhất,Các tổ chức cá nhân nước ngoài khác hoạt động SXKD không theo Luật ĐTNN,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Hố Nai 3,Huyện Trảng Bom,Đồng Nai.,DNI,MN,https://masothue.com/3603690849-truong-cao-dang-co-gioi-va-thuy-loi,Không chứa thông tin hoá đơn,,,,,,
296,TRƯỜNG CAO ĐẲNG THỐNG KÊ II,3600959587,Khu phố 5 - Phường Tân Hiệp - Thành phố Biên Hoà - Đồng Nai.,Trần Thanh Hùng,02513892621,2007-12-26,Cục Thuế Tỉnh Đồng Nai,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Tân Hiệp,Thành phố Biên Hoà,Đồng Nai.,DNI,MN,https://masothue.com/3600959587-truong-cao-dang-thong-ke-ii,Hoá đơn giấy,https://masothue.com/3602199998-cong-ty-tnhh-in-l-b-t,CÔNG TY TNHH IN L.B.T,3602199998 - CÔNG TY TNHH IN L.B.T,,,
297,TRƯỜNG CAO ĐẲNG KỸ THUẬT ĐỒNG NAI,3600673203,"Số 88 Nguyễn Văn Hoa, KP1 - Phường Thống Nhất - Thành phố Biên Hoà - Đồng Nai.",Huỳnh Lê Tuấn Dũng,0613822254,2004-04-22,Cục Thuế Tỉnh Đồng Nai,"Tổ chức kinh tế của tổ chức CT, CT-XH, XH, XH-NN",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Thống Nhất,Thành phố Biên Hoà,Đồng Nai.,DNI,MN,https://masothue.com/3600673203-truong-cao-dang-ky-thuat-dong-nai,Không chứa thông tin hoá đơn,,,,,,
298,TRƯỜNG CAO ĐẲNG CÔNG NGHỆ CAO ĐỒNG NAI,3600417489,"Số 47, đường Tôn Đức Thắng, Khu Phước Hải - Thị trấn Long Thành - Huyện Long Thành - Đồng Nai.",Lê Anh Đức,0613845352,1999-07-20,Chi cục Thuế khu vực Long Thành - Nhơn Trạch,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Thị trấn Long Thành,Huyện Long Thành,Đồng Nai.,DNI,MN,https://masothue.com/3600417489-truong-cao-dang-cong-nghe-cao-dong-nai,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
299,TRƯỜNG CAO ĐẲNG LÊ QUÝ ĐÔN - CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN ANH VINH,3600977106-002,"Số 538, QL 51, tổ 29, KP 3, Phường Long Bình Tân, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",ĐẶNG QUANG VINH,02513938363,2015-01-12,Chi cục Thuế khu vực Biên Hòa - Vĩnh Cửu,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Đào tạo đại học 8541,Giáo dục,P,"""1. Đào tạo đại học 8541""",Phường Long Bình Tân,Thành phố Biên Hoà,Tỉnh Đồng Nai,DNI,MN,https://masothue.com/3600977106-002-truong-cao-dang-le-quy-don-chi-nhanh-cong-ty-co-phan-tap-doan-anh-vinh,Không chứa thông tin hoá đơn,,,,,LE QUY DON COLLEGES - BRANCH OF ANH VINH GROUP JOINT STOCK COMPANY,TRƯỜNG CAO ĐẲNG LÊ QUÝ ĐÔN
300,TRƯỜNG CAO ĐẲNG HÒA BÌNH XUÂN LỘC,3601042200,ấp Lộ Đức - Xã Hố Nai 3 - Huyện Trảng Bom - Đồng Nai.,Nguyễn Văn Uy,0613985162,2008-09-03,Chi cục Thuế khu vực Trảng Bom - Thống Nhất,"Tổ chức kinh tế của tổ chức CT, CT-XH, XH, XH-NN",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Hố Nai 3,Huyện Trảng Bom,Đồng Nai.,DNI,MN,https://masothue.com/3601042200-truong-cao-dang-hoa-binh-xuan-loc,Hoá đơn giấy,https://masothue.com/3601018039-cong-ty-co-phan-tap-doan-nguyen-thien,CÔNG TY CỔ PHẦN TẬP ĐOÀN NGUYỄN THIỆN,3601018039 - CÔNG TY CỔ PHẦN TẬP ĐOÀN NGUYỄN THIỆN,,,
301,TRƯỜNG ĐẠI HỌC ĐỒNG THÁP,1400454786,"Đường Phạm Hữu Lầu, Phường 6 - - Thành phố Cao Lãnh - Đồng Tháp.",Lê Hiển Dương,067-881518,2003-06-12,Cục Thuế Tỉnh Đồng Tháp,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,"Đường Phạm Hữu Lầu, Phường 6",Thành phố Cao Lãnh,Đồng Tháp.,DTP,MN,https://masothue.com/1400454786-truong-dai-hoc-dong-thap,Không chứa thông tin hoá đơn,,,,,,
302,TRƯỜNG CAO ĐẲNG CỘNG ĐỒNG ĐỒNG THÁP,1400382041,"Số 259, Đường Thiên Hộ Dương - Phường Hoà Thuận - Thành phố Cao Lãnh - Đồng Tháp.",Phạm Phát,851274 851523,2001-07-03,Cục Thuế Tỉnh Đồng Tháp,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Hoà Thuận,Thành phố Cao Lãnh,Đồng Tháp.,DTP,MN,https://masothue.com/1400382041-truong-cao-dang-cong-dong-dong-thap,Hoá đơn tự in,,,,,,
303,TRƯỜNG CAO ĐẲNG Y TẾ ĐỒNG THÁP,1400454592,"Số 312 Nguyễn Thái Học, Phường 4 - - Thành phố Cao Lãnh - Đồng Tháp.",Nguyễn Công Cừu,851537-854133,2003-06-02,Cục Thuế Tỉnh Đồng Tháp,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,"Số 312 Nguyễn Thái Học, Phường 4",Thành phố Cao Lãnh,Đồng Tháp.,DTP,MN,https://masothue.com/1400454592-truong-cao-dang-y-te-dong-thap,Hoá đơn giấy,https://masothue.com/1400102431-cong-ty-co-phan-in-bao-bi-dong-thap,CÔNG TY CỔ PHẦN IN & BAO BÌ ĐỒNG THÁP,1400102431 - CÔNG TY CỔ PHẦN IN & BAO BÌ ĐỒNG THÁP,,,
304,TRƯỜNG CAO ĐẲNG NGHỀ ĐỒNG THÁP,1400382002,Đường Trần Phú Phường 3 - - Thành phố Sa Đéc - Đồng Tháp.,Lê Minh Hoàng,863618,2001-07-02,Cục Thuế Tỉnh Đồng Tháp,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,,,,,Đường Trần Phú Phường 3,Thành phố Sa Đéc,Đồng Tháp.,DTP,MN,https://masothue.com/1400382002-truong-cao-dang-nghe-dong-thap,Hoá đơn giấy,https://masothue.com/1401817023-cong-ty-cp-in-cau-vong-dong-thap,CÔNG TY CP IN CẦU VỒNG ĐỒNG THÁP,1401817023 - CÔNG TY CP IN CẦU VỒNG ĐỒNG THÁP,,,
305,TRƯỜNG CAO ĐẲNG SƯ PHẠM GIA LAI,5900335294,126 Lê Thánh Tôn - - Thành phố Pleiku - Gia Lai.,Trịnh Đào Chiến,059827867,2005-06-02,Cục Thuế Tỉnh Gia Lai,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (được cấp thông báo MST),,,,,,,,,,https://masothue.com/5900335294-truong-cao-dang-su-pham-gia-lai,Không chứa thông tin hoá đơn,,,,,,
306,TRƯỜNG CAO ĐẲNG GIA LAI,5900275292,Thôn 6 - Xã Diên Phú - Thành phố Pleiku - Gia Lai.,Phạm Văn Điều,,2002-10-14,Cục Thuế Tỉnh Gia Lai,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Diên Phú,Thành phố Pleiku,Gia Lai.,GLI,MT,https://masothue.com/5900275292-truong-cao-dang-gia-lai,Không chứa thông tin hoá đơn,,,,,,
307,TRƯỜNG CAO ĐẲNG NGHỀ SỐ 21/BQP,5901061494,01A Đường 17/3 - Phường Thống Nhất - Thành phố Pleiku - Gia Lai.,Nguyễn Huy Vượng,,2017-05-25,Cục Thuế Tỉnh Gia Lai,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Thống Nhất,Thành phố Pleiku,Gia Lai.,GLI,MT,https://masothue.com/5901061494-truong-cao-dang-nghe-so-21-bqp,Không chứa thông tin hoá đơn,,,,,,
308,TRƯỜNG ĐẠI HỌC VÕ TRƯỜNG TOẢN,6300049127,"Quốc lộ 1A, xã Tân Phú Thạnh - - Huyện Châu Thành A - Hậu Giang.",Dương Đăng Khoa,0711953222,2008-05-08,Cục Thuế Tỉnh Hậu Giang,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,"Quốc lộ 1A, xã Tân Phú Thạnh",Huyện Châu Thành A,Hậu Giang.,HAG,MN,https://masothue.com/6300049127-truong-dai-hoc-vo-truong-toan,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
309,TRƯỜNG CAO ĐẲNG LUẬT MIỀN NAM,6300198640,- Xã Vị Trung - Huyện Vị Thủy - Hậu Giang.,Nguyễn Văn Phụng,07113870288,2012-07-20,Cục Thuế Tỉnh Hậu Giang,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Vị Trung,Huyện Vị Thủy,Hậu Giang.,HAG,MN,https://masothue.com/6300198640-truong-cao-dang-luat-mien-nam,Không chứa thông tin hoá đơn,,,,,,
310,TRƯỜNG CAO ĐẲNG CỘNG ĐỒNG HẬU GIANG,6300025253,Đường 19/8 - Xã Vị Tân - Thành phố Vị Thanh - Hậu Giang.,Nguyễn Hữu Văn,071580515,2006-07-17,Cục Thuế Tỉnh Hậu Giang,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Vị Tân,Thành phố Vị Thanh,Hậu Giang.,HAG,MN,https://masothue.com/6300025253-truong-cao-dang-cong-dong-hau-giang,Không chứa thông tin hoá đơn,,,,,,
311,TRƯỜNG CAO ĐẲNG Y TẾ KHÁNH HOÀ,4200646246,84 Quang Trung - - Thành phố Nha Trang - Khánh Hòa.,Vũ Viết Sơn,058 522318,2006-05-31,Chi cục Thuế Thành phố Nha Trang,,,,,,,,,,,,https://masothue.com/4200646246-truong-cao-dang-y-te-khanh-hoa,Hoá đơn tự in,,,,,,
312,TRƯỜNG ĐẠI HỌC NHA TRANG,4200433424,02 Nguyễn Đình Chiểu - Phường Vĩnh Thọ - Thành phố Nha Trang - Khánh Hòa.,Trang Sĩ Trung,058831149,2001-01-09,Chi cục Thuế Thành phố Nha Trang,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Vĩnh Thọ,Thành phố Nha Trang,Khánh Hòa.,KHA,MT,https://masothue.com/4200433424-truong-dai-hoc-nha-trang,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
313,TRƯỜNG ĐẠI HỌC THÁI BÌNH DƯƠNG,4201119161,79 Mai Thị Dõng thôn Hòn Nghê - Xã Vĩnh Ngọc - Thành phố Nha Trang - Khánh Hòa.,Bùi Tấn Tài,3727181-72718234,2009-10-05,Chi cục Thuế Thành phố Nha Trang,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Vĩnh Ngọc,Thành phố Nha Trang,Khánh Hòa.,KHA,MT,https://masothue.com/4201119161-truong-dai-hoc-thai-binh-duong,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
314,TRƯỜNG SĨ QUAN KHÔNG QUÂN,4200736958,"Số 03 Biệt Thự, Tân Lập - Phường Tân Lập - Thành phố Nha Trang - Khánh Hòa.",Ngô Vĩnh Phúc,058523407,2008-03-06,Chi cục Thuế Thành phố Nha Trang,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Tân Lập,Thành phố Nha Trang,Khánh Hòa.,KHA,MT,https://masothue.com/4200736958-truong-si-quan-khong-quan,Không chứa thông tin hoá đơn,,,,,,
315,TRƯỜNG CAO ĐẲNG SƯ PHẠM TRUNG ƯƠNG - NHA TRANG,4200643527,Số 01 Nguyễn Mậu Tài - Xã Vĩnh Ngọc - Thành phố Nha Trang - Khánh Hòa.,Nguyễn Trung Triều ( sinh năm 1981 - Quảng Bình) Ẩn thông tin,058 831166,,Chi cục Thuế Thành phố Nha Trang,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Vĩnh Ngọc,Thành phố Nha Trang,Khánh Hòa.,KHA,MT,https://masothue.com/4200643527-truong-cao-dang-su-pham-trung-uong-nha-trang,Không chứa thông tin hoá đơn,,,,,,
316,TRƯỜNG ĐẠI HỌC KHÁNH HÒA,4201662392,Số 01 Nguyễn Chánh - Phường Lộc Thọ - Thành phố Nha Trang - Khánh Hòa.,Phan Phiến,0583523420,,Cục Thuế Tỉnh Khánh Hoà,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Lộc Thọ,Thành phố Nha Trang,Khánh Hòa.,KHA,MT,https://masothue.com/4201662392-truong-dai-hoc-khanh-hoa,Hoá đơn điện tử,https://masothue.com/0303549303-cong-ty-tnhh-phan-mem-va-tu-van-kim-tu-thap,CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,0303549303 - CÔNG TY TNHH PHẦN MỀM VÀ TƯ VẤN KIM TỰ THÁP,,,
317,TRƯỜNG CAO ĐẲNG KỸ THUẬT CÔNG NGHỆ NHA TRANG,4200668384,"Đường N1, Khu trường học đào tạo và dạy nghề Bắc Hòn ông - Xã Phước Đồng - Thành phố Nha Trang - Khánh Hòa.",Nguyễn Văn Lực ( sinh năm 1966 - Khánh Hòa) Ẩn thông tin,058 3883440,2006-12-21,Chi cục Thuế Thành phố Nha Trang,,,,,,,Xã Phước Đồng,Thành phố Nha Trang,Khánh Hòa.,KHA,MT,https://masothue.com/4200668384-truong-cao-dang-ky-thuat-cong-nghe-nha-trang,Hoá đơn tự in,,,,,,
318,TRƯỜNG CAO ĐẲNG DU LỊCH NHA TRANG,4200764190,Số 2 đường Điện Biên Phủ - Phường Vĩnh Hoà - Thành phố Nha Trang - Khánh Hòa.,Nguyễn Doãn Thành,058562918 0985417627,2008-08-04,Chi cục Thuế Thành phố Nha Trang,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Vĩnh Hoà,Thành phố Nha Trang,Khánh Hòa.,KHA,MT,https://masothue.com/4200764190-truong-cao-dang-du-lich-nha-trang,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
319,VIỆN NGHIÊN CỨU CƠ KHÍ,0100100110,Số 4 Đường Phạm Văn Đồng - - Quận Cầu Giấy - Hà Nội.,Phan Đăng Phong,04870556,,Cục Thuế Thành phố Hà Nội,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/0100100110-vien-nghien-cuu-co-khi,Hoá đơn điện tử,https://masothue.com/0101360697-cong-ty-co-phan-bkav,CÔNG TY CỔ PHẦN BKAV,0101360697 - CÔNG TY CỔ PHẦN BKAV,,,
320,VIỆN HÓA HỌC CÔNG NGHIỆP VIỆT NAM,0100101121,"Số 2 phố Phạm Ngũ Lão, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",HOÀNG ANH TUẤN,38253930,2008-01-09,Cục Thuế Thành phố Hà Nội,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Nghiên cứu và phát triển thực nghiệm khoa học tự nhiên và kỹ thuật 7210,Khác,M,"""1. Sản xuất thực phẩm khác chưa được phân vào đâu 1079
2. Bán buôn thực phẩm 4632
3. Dịch vụ thông tin khác chưa được phân vào đâu 6329
4. Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê 6810
5. Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan 7110
6. Kiểm tra và phân tích kỹ thuật 7120
7. Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu 8299
8. Giáo dục khác chưa được phân vào đâu 8559
9. Nghiên cứu và phát triển thực nghiệm khoa học tự nhiên và kỹ thuật 7210""",Phường Phan Chu Trinh,Quận Hoàn Kiếm,Thành phố Hà Nội,HNI,MB,https://masothue.com/0100101121-vien-hoa-hoc-cong-nghiep-viet-nam,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,VIET NAM INSTITUTE OF INDUSTRIAL CHEMISTRY,VIIC
321,TRƯỜNG CAO ĐẲNG NGHỀ LONG BIÊN,0100101308-025,số 2/765 đường Nguyễn Văn Linh - Phường Sài Đồng - Quận Long Biên - Hà Nội.,Phạm Vũ Khiêm,0422154723,,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Sài Đồng,Quận Long Biên,Hà Nội.,HNI,MB,https://masothue.com/0100101308-025-truong-cao-dang-nghe-long-bien,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
