Xếp hạng VNR500,Mã số thuế,Mã chứng khoán,Trụ sở chính,Tel,Fax,E-mail,Website
262(B1/2021),0302177966,IDC,Số 151 Ter Nguyễn Đình Chiểu - Phường 6 - Quận 3 - TP. Hồ Chí Minh,028-38438883,028-39312705,idico@hcm.fpt.vn; headoffice@idico.com.vn,
261(B1/2021),0800004797,Chưa niêm yết,Khu Bích Nhôi 2 - Phường Minh Tân - Thị xã Kinh Môn - Tỉnh Hải Dương,0220-3821092,0220-3821098,contact@ximanghoangthach.com,
263(B1/2021),0315767095,Chưa niêm yết,144A Hồ Học Lãm - Phường An Lạc - Quận Bình Tân - TP. Hồ Chí Minh,028-38253604,028-38253605,thinhphat@thipha.com.vn,
140(B2/2021)-264(B1/2021),0200117929,TCH,116 Nguyễn Đức Cảnh - Phường Cát Dài - Quận Lê Chân - TP. Hải Phòng,0225-3610021,0225-3955322,cbtt@hoanghuy.vn,
141(B2/2021)-265(B1/2021),0303103212,Chưa niêm yết,"Newtecons Tower, 96 Phan Đăng Lưu, Phường 05, Quận Phú Nhuận. TP.HCM, Việt Nam",028-35146699,028-35146677,contact@newtecons.vn,
269(B1/2021),3700599641,Chưa niêm yết,138-142 Hai Bà Trưng - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-38270838,028-38270839,infomkd@mdlz.com,
267(B1/2021),3600456424,Chưa niêm yết,Số 9 Đường 3 A - Phường Long Bình - TP. Biên Hòa - Tỉnh Đồng Nai,061-3993512,061-3993520,grobest@hcm.vnn.vn,
144(B2/2021)-270(B1/2021),0200167782,NTP,Số 2 An Đà - Phường Lạch Tray - Quận Ngô Quyền - TP. Hải Phòng,0225-3813979,0225-3813989,contact@nhuatienphong.vn,
143(B2/2021)-268(B1/2021),0302588596,KDH,"Phòng 1&2, Tầng 11, Tòa nhà Saigon Centre, 67 Lê Lợi - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-38208858,028-38208859,info@khangdien.com.vn,
142(B2/2021)-266(B1/2021),0301378892,BVB,"Tòa nhà HM Town, số 412 Nguyễn Thị Minh Khai - Phường 5 - Quận 3 - TP. Hồ Chí Minh",028-62679679,028-62638638,N.A,
147(B2/2021)-277(B1/2021),0102721191,Chưa niêm yết,"Tầng 6, Tòa nhà Toyota, 315 Trường Chinh - Quận Thanh Xuân - TP. Hà Nội",024-32223000,024-37226352,support.hn@ggg.com.vn,
271(B1/2021),0100103866,Chưa niêm yết,"Lô D, Khu D1 - Phường Phú Thượng - Quận Tây Hồ - TP. Hà Nội",024-62800802,024-62800809,office@veamcorp.com,
275(B1/2021),0102314245,Chưa niêm yết,"Tầng 8, Tòa nhà BIDV, 41 Hùng Vương - Phường Phú Hội - TP. Huế - Tỉnh Thừa Thiên Huế",0234-3850164,0234-3850171,hung.a.ho@carlsberg.asia,
273(B1/2021),3600618918,Chưa niêm yết,Lô A4 KCN Sông Mây-Xã Bắc Sơn-Huyện Trảng Bom-Tỉnh Đồng Nai,0251-3986705,0251-3968176,ancofeed@anco.com.vn,
274(B1/2021),4200601069,KHP,Số 11 Lý Thánh Tôn - Phường Vạn Thạnh - TP. Nha Trang - Tỉnh Khánh Hòa,0258-2220220,0258-3823828,pckhanhhoa@cpc.vn,
145(B2/2021)-272(B1/2021),0305371707,HTN,53 Trần Quốc Thảo - Phường Võ Thị Sáu - Quận 3 - TP. Hồ Chí Minh,028-73075888,028-38249545,info@hungthinhincons.com.vn,
146(B2/2021)-276(B1/2021),0301955155,SSI,72 Nguyễn Huệ - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-38242897,028-38242997,info@ssi.com.vn,
148(B2/2021)-278(B1/2021),0308113486,Chưa niêm yết,178/4A Phan Đăng Lưu - Phường 3 - Quận Phú Nhuận - TP. Hồ Chí Minh,028-62983355,028-62587527,cskh@adonggroup.com.vn,
286(B1/2021),1800156801,DHG,288 Bis - Nguyễn Văn Cừ - Phường An Hòa - Quận Ninh Kiều - TP. Cần Thơ,0292-3891433,0292-3895209,dhgpharma@dhgpharma.com.vn,
284(B1/2021),0300713668,Chưa niêm yết,Số 58-60 Nguyễn Tất Thành - Phường 12 - Quận 4 - TP. Hồ Chí Minh,028-38255999,028-38255858,cns@cns.com.vn,
280(B1/2021),0304990133,Chưa niêm yết,"Tầng 8, 9, 10 Tòa Nhà Gilimex, Số 24C Phan Đăng Lưu - Phường 6 - Quận Bình Thạnh - TP. Hồ Chí Minh",028-54137483,028-35107502,thongtin@hdsaison.com.vn,
149(B2/2021)-279(B1/2021),4600305723,TNG,"Số 434/1, Đường Bắc Kạn - Phường Hoàng Văn Thụ - TP. Thái Nguyên - Tỉnh Thái Nguyên",0208-3858508,0208-3856408,info@tng.vn,
150(B2/2021)-281(B1/2021),2200208753,FMC,"Km 2132, Quốc lộ 1A - Phường 2 - TP. Sóc Trăng - Tỉnh Sóc Trăng",0299-3822223,0299-3822122,info@fimexvn.com,
151(B2/2021)-282(B1/2021),0303482440,Chưa niêm yết,39B Trường Sơn - Phường 4 - Quận Tân Bình - TP. Hồ Chí Minh,028-62647272,028-62647373,info@beelogistics.com,
153(B2/2021)-285(B1/2021),0100892628,Chưa niêm yết,Ngõ 320 Khương Đình - Cụm 3 - Phường Hạ Đình - Quận Thanh Xuân - TP. Hà Nội,024-38588565,024-38588566,info@cadisun.com.vn,
152(B2/2021)-283(B1/2021),0301387752,Chưa niêm yết,219 Đại lộ Bình Dương - Phường Vĩnh Phú - TP. Thuận An - Tỉnh Bình Dương,0274-3755161,0274-3755057,info@thp.com.vn,
289(B1/2021),4600451322,TTS,Tổ 21 - Phường Cam Giá - TP. Thái Nguyên - Tỉnh Thái Nguyên,0208-3735690,0208-3735716,info@ttr.com.vn,
288(B1/2021),0101225306,Chưa niêm yết,"Lô F1, Khu Công nghiệp Thăng Long - Xã Kim Chung - Huyện Đông Anh - TP. Hà Nội",024-38811926,024-38811928,support@toto.com.vn,
293(B1/2021),0900841823,Chưa niêm yết,"Tầng 8, Tòa nhà Hudland, Số 6 đường Nguyễn Hữu Thọ - Phường Hoàng Liệt - Quận Hoàng Mai - TP. Hà Nội",024-32033666,024-32033111,info@mavin-group.com,
292(B1/2021),3600248368,Chưa niêm yết,KCN Gò Dầu - Huyện Long Thành - Tỉnh Đồng Nai,061-3841461,08-38234725,đang cập nhật..,
287(B1/2021),1800157562,Chưa niêm yết,29 Cách Mạng Tháng Tám - Phường Thới Bình - Quận Ninh Kiều - TP. Cần Thơ,0292-3812218 / 3822127,0292-3820964,info@xsktcantho.com.vn,
156(B2/2021)-294(B1/2021),2000110221,CMV,Số 70-72 Đề Thám - Phường 2 - TP. Cà Mau - Tỉnh Cà Mau,0290-3822847 / 3839220,0290-3834358,info@tncm.com.vn,
154(B2/2021)-290(B1/2021),0100736347,Chưa niêm yết,"Số 51, Ngõ 258, Phố Tân Mai - Phường Thịnh Liệt - Quận Hoàng Mai - TP. Hà Nội",024-39726558,024-39727932,hv.xalotho@gmail.com,
155(B2/2021)-291(B1/2021),0104961939,Chưa niêm yết,Số 167 phố Hoàng Ngân - Phường Trung Hòa - Quận Cầu Giấy - TP. Hà Nội,024-33685980,024-33687095,support@phenikaa.com,
157(B2/2021)-295(B1/2021),1700197787,KLB,40-42-44 Phạm Hồng Thái - Phường Vĩnh Thanh Vân - TP. Rạch Giá - Tỉnh Kiên Giang,0297-3869950 / 3877541,0297-3871171 / 3877538,kienlong@kienlongbank.com,
296(B1/2021),0300516772,Chưa niêm yết,03 Nguyễn Oanh - Phường 10 - Quận Gò Vấp - TP. Hồ Chí Minh,028-38942238,028-38943053,28@agtex.com.vn,
160(B2/2021)-299(B1/2021),0102055583,Chưa niêm yết,"RM1503-1505, Charmvit Tower, 117 Tran Duy Hung Street, Hanoi City.",024-35569980,024-35568981,info@ipcenc.com.vn,https://ipcenc.com.vn/; https://www.ipc-vietnam.com.vn/
158(B2/2021)-297(B1/2021),0305410561,Chưa niêm yết,"110-112 Trần Quốc Thảo, Phường Võ Thị Sáu, Quận 3, TP. Hồ Chí Minh",028-73075888,,info@hungthinhcorp.com.vn,
162(B2/2021)-301(B1/2021),3600512830,TLH,G1A - KP4 - Đường Đồng Khởi - Phường Tân Hiệp - TP. Biên Hòa - Tỉnh Đồng Nai,061-3823187,061-3289043,tienlen_metal@hcm.vnn.vn,
159(B2/2021)-298(B1/2021),0900222647,VIS,Giai Phạm - Xã Giai Phạm - Huyện Yên Mỹ - Tỉnh Hưng Yên,0321-3942427,0321-3942226,pr@vis.com.vn,
161(B2/2021)-300(B1/2021),5200466372,HII,KCN Phía Nam - Xã Văn Tiến - TP. Yên Bái - Tỉnh Yên Bái,0216-3853886 / 3856555,0216-3851123,info@antienindustries.com,
165(B2/2021)-304(B1/2021),0300398889,MNB,Số 4 Bến Nghé - Phường Tân Thuận Đông - Quận 7 - TP. Hồ Chí Minh,028-38720077 / 38729124,028-38725107,info@nhabe.com.vn,
164(B2/2021)-303(B1/2021),0302217087,Chưa niêm yết,A2 Trường Sơn - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh,028-22200884,028-22200887,phanvu@phanvu.com,
163(B2/2021)-302(B1/2021),0900254448,Chưa niêm yết,Thôn Khả Duy - Xã Đoàn Đào - Huyện Phù Cừ - Tỉnh Hưng Yên,0221-3892888,0221-3892780,info.abcvietnam@gmail.com,
166(B2/2021)-305(B1/2021),0900273306,Chưa niêm yết,"Km33, Quốc lộ 5A - Xã Minh Đức - Huyện Mỹ Hào - Tỉnh Hưng Yên",0221-3746086,0221-3746085,thep568@gmail.com,
167(B2/2021)-306(B1/2021),0300446973,BMI,26 Tôn Thất Đạm - Phường Nguyễn Thái Bình - Quận 1 - TP. Hồ Chí Minh,028-38294180,028-38294185,baominh@baominh.com.vn,
169(B2/2021)-310(B1/2021),0305601319,Chưa niêm yết,"Lô VB.20A2, Đường 24, Khu chế xuất Tân Thuận - Phường Tân Thuận Đông - Quận 7 - TP. Hồ Chí Minh",028-36226880,028-54175777,info@thuanhai.com.vn,
170(B2/2021)-311(B1/2021),2200208834,Chưa niêm yết,Số 383 Bạch Đằng - Phường 9 - TP. Sóc Trăng - Tỉnh Sóc Trăng,0299-2621226,0299-2621227,thanhtinrice@gmail.com,
307(B1/2021),0103617147,Chưa niêm yết,P1810 Tháp Keangnam KĐT Cầu Giấy - Xã Mễ Trì - Quận Nam Từ Liêm - TP. Hà Nội,024-39368000,024-39368300,,
312(B1/2021),0305774706,Chưa niêm yết,"Lầu 14, Tòa Nhà Doji, 81-85 Hàm Nghi - Phường Nguyễn Thái Bình - Quận 1 - TP. Hồ Chí Minh",028-39149100,028-39149101,customer.service@hanwhalife.com.vn,
171(B2/2021)-313(B1/2021),0303493756,PDR,"Tầng 8 và 9 Tháp B, Tòa nhà Viettel, 285 Đường Cách Mạng Tháng Tám - Phường 12 - Quận 10 - TP. Hồ Chí Minh",028-22266868,028-22268686,info@phatdat.com.vn,
168(B2/2021)-309(B1/2021),0104979904,Chưa niêm yết,65 Cảm Hội - Quận Hai Bà Trưng - TP. Hà Nội,024-73080188,024-39743656,hotrokhachhang@vps.com.vn,
308(B1/2021),0300604002,Chưa niêm yết,801 Nguyễn Văn Linh - Phường Tân Phú - Quận 7 - TP. Hồ Chí Minh,08-54118888,08-54115678,info@phumyhung.com.vn,
174(B2/2021)-316(B1/2021),0600333307,MSH,Số 105 Đường Nguyễn Đức Thuận - Phường Thống Nhất - TP. Nam Định - Tỉnh Nam Định,0228-3649365,0228-3646737,info@songhong.vn,
172(B2/2021)-314(B1/2021),3700748131,ACG,"Thửa đất 681, Tờ bản đồ 05, Đường ĐT 747B, Khu phố Phước Hải, Phường Thái Hoà, Thị xã Tân Uyên, Tỉnh Bình Dương",0274-3626282 / 3626283,0274-3626284,ancuong.group@gmail.com,
318(B1/2021),0300733752,Chưa niêm yết,97A Nguyễn Văn Trỗi - Phường 12 - Quận Phú Nhuận - TP. Hồ Chí Minh,028-39421042,028-39421043,support@indovinabank.com.vn,
173(B2/2021)-315(B1/2021),0302310209,LCG,"24A Phan Đăng Lưu, Phường 6, Quận Bình Thạnh, TP. HCM",028-38411375,028-32411376,info@licogi16.com,
178(B2/2021)-321(B1/2021),0302401061,Chưa niêm yết,Số 238-240 Võ Văn Kiệt - Phường Cầu Ông Lãnh - Quận 1 - TP. Hồ Chí Minh,028-39209238,028-39209240,office@phucsinh.com,
175(B2/2021)-317(B1/2021),0101976905,Chưa niêm yết,"Tầng 12, tòa nhà Richy Tower, số 35 Phố Mạc Thái Tổ - Phường Yên Hòa - Quận Cầu Giấy - TP. Hà Nội",024-37366676,024-37366696,info@sunhouse.com.vn,
177(B2/2021)-320(B1/2021),0102287094,SHN,"Tầng 5, Tòa nhà FLC Landmark Tower - Đường Lê Đức Thọ - Phường Mỹ Đình 2 - Quận Nam Từ Liêm - TP. Hà Nội",024-35537188,024-35537168,info@shn.com.vn,
176(B2/2021)-319(B1/2021),3700149709,Chưa niêm yết,48B Khu phố Hòa Long - Phường Lái Thiêu - Thị xã Thuận An - Tỉnh Bình Dương,0274-3754159,0274-3743292,info@laithieu.com.vn,
322(B1/2021),2500213190,Chưa niêm yết,KCN Khai Quang - Phường Khai Quang - TP. Vĩnh Yên - Tỉnh Vĩnh Phúc,0211-3842897,0211-3842896 / 3845695,vpic1@vpic1.com.vn,
179(B2/2021)-323(B1/2021),3700150020,Chưa niêm yết,"Số 9/2, đường ĐT 743, Khu phố 1B - Phường An Phú - Thị xã Thuận An - Tỉnh Bình Dương",0274-3712888,0274-3712555,info@asiafoods.vn,
326(B1/2021),5900424466,Chưa niêm yết,Lô A11 - KCN Trà Đa - Xã Trà Đa - TP. Pleiku - Tỉnh Gia Lai,059-3735118,059-3735234,hcmtraffic@ldcommodities.com,
180(B2/2021)-324(B1/2021),0105837941,Chưa niêm yết,"Tầng 18, Tòa nhà Peakview Tower, 36 Hoàng Cầu - Phường Ô Chợ Dừa - Quận Đống Đa - TP. Hà Nội",024-62958884,,info@imediatech.com.vn,
183(B2/2021)-328(B1/2021),0107009894,Chưa niêm yết,"B12A-12B, Vinhomes Gardenia, đường Hàm Nghi - Phường Cầu Diễn - Quận Nam Từ Liêm - TP. Hà Nội",024-37843666,,info@casper-electric.com,
329(B1/2021),0106873188,Chưa niêm yết,"Tòa nhà VNPT, Số 57 Phố Huỳnh Thúc Kháng - Phường Láng Hạ - Quận Đống Đa - TP. Hà Nội",024-37722728,024-37722733,vnptmedia@vnpt.vn,
181(B2/2021)-325(B1/2021),5700103433,Chưa niêm yết,Tầng 1 Tòa nhà Green Bay - Đường Hoàng Quốc Việt - Phường Hùng Thắng - TP. Hạ Long - Tỉnh Quảng Ninh,0203-3847043,0203-3844498,contact@bimland.com,
182(B2/2021)-327(B1/2021),2500578360,Chưa niêm yết,"Lô 1, Khu vực A, KCN Tam Dương II - Xã Kim Long - Huyện Tam Dương - Tỉnh Vĩnh Phúc",1900 6555,,,
336(B1/2021),0107520795,Chưa niêm yết,"Tầng 15, Tòa nhà 21 Cát Linh, phường Cát Linh, quận Đống Đa, Tp. Hà Nội",024-22298888,024-62698080,dvkh@mbageas.life,
334(B1/2021),0102713659,Chưa niêm yết,"Tầng 14, Tòa nhà Handico, Khu đô thị mới Mễ Trì Hạ - Đường Phạm Hùng - Phường Mễ Trì - Quận Nam Từ Liêm - TP. Hà Nội",024-39335133,024-39335166,,
331(B1/2021),6000234538,Chưa niêm yết,23 Ngô Quyền - Phường Thắng Lợi - TP. Buôn Ma Thuột - Tỉnh Đắk Lắk,0262-3950787,0262-3950015,info@simexcodl.com.vn,
185(B2/2021)-335(B1/2021),3603262480,Chưa niêm yết,"Số 26E, Khu phố 1 - Phường Quang Vinh - TP. Biên Hoà - Tỉnh Đồng Nai",0251-3810868,0251-3943169,sales@daukhihaiphat.com,
330(B1/2021),0200373471,Chưa niêm yết,Km 9 Vật Cách - Phường Quán Toan - Quận Hồng Bàng - TP. Hải Phòng,031-3850818,031-3850828,ssesteel@sse.com.vn,
332(B1/2021),1900135322,Chưa niêm yết,Số 07 Đường Hai Bà Trưng - Phường 3 - TP. Bạc Liêu - Tỉnh Bạc Liêu,0291-3822354,0291-3821933,ctyxsbl@gmail.com,
184(B2/2021)-333(B1/2021),0900237146,Chưa niêm yết,Khu D - KCN Phố Nối A - Xã Lạc Hồng - Huyện Văn Lâm - Tỉnh Hưng Yên,0221-3587686 / 3578668 / 3941432,0221-3941433,minhngocsteelco@gmail.com,
186(B2/2021)-337(B1/2021),0315744468,Chưa niêm yết,222 Pasteur - Phường Võ Thị Sáu - Quận 3 - TP. Hồ Chí Minh,028-38241919,,,
190(B2/2021)-341(B1/2021),0302181666,GIL,334A Phan Văn Trị - Phường 11 - Quận Bình Thạnh - TP. Hồ Chí Minh,028-71008888,028-35160118,business@gilimex.com,
189(B2/2021)-340(B1/2021),3600662561,DNP,Đường 9 KCN Nhơn Trạch 1-Phường An Bình-TP. Biên Hòa-Tỉnh Đồng Nai,0251-3836174,0251-3836174,info@dnpcorp.vn,
187(B2/2021)-338(B1/2021),1400683063,Chưa niêm yết,"Số 138, Quốc lộ 30, khóm An Thạnh A - Phường An Lộc - TP. Hồng Ngự - Tỉnh Đồng Tháp",0277-3837259,0277-3838662,tuongnguyen@tuongnguyen.vn,
193(B2/2021)-345(B1/2021),0100101308,M10,765A Nguyễn Văn Linh - Phường Sài Đồng - Quận Long Biên - TP. Hà Nội,024-38276923,024-38276925,banbientap@garco10.com.vn,
343(B1/2021),0300405462,PAC,Số 321 Trần Hưng Đạo - Phường Cô Giang - Quận 1 - TP. Hồ Chí Minh,028-39302062 / 39302063,028-39302060 / 39302061,pinaco@pinaco.com.vn,
192(B2/2021)-344(B1/2021),1800241743,Chưa niêm yết,121 Nguyễn Thái Học - Phường Thốt Nốt - Quận Thốt Nốt - TP. Cần Thơ,0710-3851246,0710-3852118,info@gentraco.com.vn,
188(B2/2021)-339(B1/2021),0303885305,NBB,"Tòa nhà Carina Plaza, 1648 Võ Văn Kiệt - Phường 16 - Quận 8 - TP. Hồ Chí Minh",028-62577577,028-62615577,nbb@nbb.com.vn,
191(B2/2021)-342(B1/2021),0301446221,TCM,36 Tây Thạnh - Phường Tây Thạnh - Quận Tân Phú - TP. Hồ Chí Minh,028-38153962 / 38153968,028-38152757 / 38154008,tcm@thanhcong.com.vn,
347(B1/2021),2200108572,Chưa niêm yết,16 Trần Hưng Đạo - Phường 2 - TP. Sóc Trăng - Tỉnh Sóc Trăng,0299-3822602,0299-3821488,info@xsktsoctrang.com,
197(B2/2021)-350(B1/2021),3500818790,Chưa niêm yết,65A Đường 30/4-Phường 8-TP.Vũng Tàu-Tỉnh Bà Rịa-Vũng Tàu,0254-3515758,0254-3515759,ptsc-pos@ptsc.com.vn,
195(B2/2021)-348(B1/2021),0302660700,Chưa niêm yết,364 Cộng Hòa - Phường 13 - Quận Tân Bình - TP. Hồ Chí Minh,028-38100068,028-38100337,ree@reemee.com.vn,
194(B2/2021)-346(B1/2021),0301874259,TMS,172 (lầu 9-10) Hai Bà Trưng - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-22202888,028-22202889,info@transimex.com.vn,
198(B2/2021)-351(B1/2021),0100109699,Chưa niêm yết,2 Hàng Bài - Phường Tràng Tiền - Quận Hoàn Kiếm - TP. Hà Nội,024-38255998,024-38266029,contact@hapharco.com.vn,
196(B2/2021)-349(B1/2021),0101325854,Chưa niêm yết,Số 68 Kim Mã - Phường Kim Mã - Quận Ba Đình - TP. Hà Nội,024-73036336 / 0983612828,024-36432499,lienhe@dienmayviethan.vn,
199(B2/2021)-353(B1/2021),0700253609,Chưa niêm yết,Khu Công nghiệp Đồng Văn - Phường Đồng Văn - Thị Xã Duy Tiên - Tỉnh Hà Nam,0243-2010358,0243-2010356,info@europlas.com.vn,
352(B1/2021),0300420157,TV2,32 Ngô Thời Nhiệm - Phường 7 - Quận 3 - TP. Hồ Chí Minh,028-22216468,028-22210408,info@pecc2.com,
202(B2/2021)-357(B1/2021),0301447257,Chưa niêm yết,315 Nam Kỳ Khởi Nghĩa - Phường 07 - TP. Hồ Chí Minh,+84(28) 3846 6888,+84(28) 3848 1998,anovacorp@anovacorp.vn,
201(B2/2021)-356(B1/2021),0304132047,FHS,60-62 Lê Lợi - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-38225446 / 38223798,028-38225795,fahasa-sg@fahasa.com.vn,
355(B1/2021),5700101210,Chưa niêm yết,KCN Cái Lân - Phường Giếng Đáy - TP. Hạ Long - Tỉnh Quảng Ninh,0203-3845263,0203-3845293,info@vimaflour.com.vn,
358(B1/2021),2700631318,Chưa niêm yết,Tổ 4 - Phường Nam Sơn - TP. Tam Điệp - Tỉnh Ninh Bình,0229-3864033,0229-3865951,,
203(B2/2021)-359(B1/2021),3502380495,Chưa niêm yết,"Đường Số 4, Khu công nghiệp Phú Mỹ 1 - Phường Phú Mỹ - Thị xã Phú Mỹ - Tỉnh Bà Rịa-Vũng Tàu",0254-3897789,0254-3897859,info@lecvietnam.com,
200(B2/2021)-354(B1/2021),4200236666,Chưa niêm yết,Số 38B Nguyễn Biểu - Phường Vĩnh Hải - TP. Nha Trang - Tỉnh Khánh Hòa,0258-3831078,0258-3831688,info@mascopex.com,
205(B2/2021)-361(B1/2021),0100953567,Chưa niêm yết,"Số 3, Ngõ Viện Máy - Phường Mai Dịch - Quận Cầu Giấy - TP. Hà Nội",024-37921330/31/34/35/36,024-37649184,,
204(B2/2021)-360(B1/2021),0102935813,Chưa niêm yết,"Tầng 10 + 21, Techcombank Tower -191 Bà Triệu - Phường Lê Đại Hành - Quận Hai Bà Trưng - Hà Nội",024-39446368,024-39446583,cskh@tcbs.com.vn,
366(B1/2021),5000230718,Chưa niêm yết,Khu Công nghiệp Long Bình An - Phường Đội Cấn - TP. Tuyên Quang - Tỉnh Tuyên Quang,0273-6250868 / 6252668,0273-6250618,tqis@gmail.com,
362(B1/2021),0400101556,Chưa niêm yết,Số 36 Ông Ích Đường - Phường Hòa Thọ Đông - Quận Cẩm Lệ - TP. Đà Nẵng,0236-3846290,0236-3846216,office@hoatho.com.vn,
364(B1/2021),5700100707,MTS,"Tổ 1, Khu 2 - Phường Hồng Hà - TP. Hạ Long - Tỉnh Quảng Ninh",0203-3695899,0203-3634899,mts@vmts.vn,
206(B2/2021)-363(B1/2021),1800506679,Chưa niêm yết,184 Trần Hưng Đạo - Phường An Nghiệp - Quận Ninh Kiều - TP. Cần Thơ,0710-3734345,0710-3734426,hamaco@hamaco.vn,
207(B2/2021)-365(B1/2021),0302853607,Chưa niêm yết,14 Phan Tôn - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-39256414,028-39256413,info@tuongvietco.com,
208(B2/2021)-367(B1/2021),0101502599,FCN,"Tầng 15, Tháp CEO, Lô HH2-1, KĐT Mễ Trì Hạ - Đường Phạm Hùng - Phường Mễ Trì - Quận Nam Từ Liêm - TP. Hà Nội",024-62690481,024-62690484,info@fecon.com.vn,
209(B2/2021)-368(B1/2021),0303853575,Chưa niêm yết,289/1 Ung Văn Khiêm - Phường 25 - Quận Bình Thạnh - TP. Hồ Chí Minh,028-35123959,028-35123958,kai@elite-jsc.com,
210(B2/2021)-369(B1/2021),3500101107,DIG,265 Lê Hồng Phong - Phường 8 - TP. Vũng Tàu - Tỉnh Bà Rịa - Vũng Tàu,0254-3859248,0254-3560712,info@dic.vn,
371(B1/2021),0300533471,Chưa niêm yết,Số 3 - đường Ba Tháng Hai - Phường 11 - Quận 10 - TP. Hồ Chí Minh,028-38334565,028-38356051,thaisoncorp@thaisoncorp.com.vn,
370(B1/2021),4200338918,Chưa niêm yết,248 Thống Nhất - Phường Phương Sơn - TP. Nha Trang - Tỉnh Khánh Hòa,0258-3822472,0258-3829267,yensaokh@yensaokhanhhoa.com.vn,
213(B2/2021)-374(B1/2021),3100261120,Chưa niêm yết,Đường Thống Nhất-Tiểu Khu Diêm Thượng-Phường Đức Ninh Đông-TP. Đồng Hới-Tỉnh Quảng Bình,0232-3840789,0232-3840789,info@tuanviet-trading.com,
211(B2/2021)-372(B1/2021),6000746180,Chưa niêm yết,Khu công nghiệp Hoà Phú - Xã Hòa Phú - TP. Buôn Ma Thuột - Tỉnh Đắk Lắk,0262-3685117,0262-3685119,info@aseansteel.com.vn,
212(B2/2021)-373(B1/2021),0301442989,Chưa niêm yết,Đường Phan Văn Đối - ấp Tiền Lân - Xã Bà Điểm - Huyện Hóc Môn - TP. Hồ Chí Minh,028-37125697,028-37125699,tuyet.mai@unibenfoods.com,
214(B2/2021)-375(B1/2021),3700145694,BWE,11 Ngô Văn Trị-Phường Phú Lợi-TP. Thủ Dầu Một-Tỉnh Bình Dương,0274-3824245,0274-3827738,binhduong@biwase.com.vn,
215(B2/2021)-376(B1/2021),0303549039,Chưa niêm yết,1D Phổ Quang - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh,028-39972779 / 73067890,028-38441034,ad@adcompany.com.vn / info@plusssz.com.vn,
216(B2/2021)-377(B1/2021),1400105785,Chưa niêm yết,Số 69 Quốc lộ 80 - Ấp Bình Phú Quới - Thị trấn Lấp Vò - Huyện Lấp Vò - Tỉnh Đồng Tháp,067-3845023,067-3845206,cty_tnhh_phattai@yahoo.com,
218(B2/2021)-379(B1/2021),0303104343,DXG,2W Ung Văn Khiêm-Phường 25-Quận Bình Thạnh-TP. Hồ Chí Minh,028-62525252,028-62853896,info@datxanh.com.vn,
220(B2/2021)-381(B1/2021),0400101588,Chưa niêm yết,21 Bùi Thị Xuân - Phường Bến Thành - Quận 1 - TP. Hồ Chí Minh,Đang cập nhật..,đang cập nhật..,đang cập nhật..,
217(B2/2021)-378(B1/2021),0305458683,Chưa niêm yết,35 Nguyễn Huệ-Phường Đa Kao-Quận 1-TP. Hồ Chí Minh,028-39117147,028-39117144,support@payoo.vn,
219(B2/2021)-380(B1/2021),0105202998,THD,Số 210 Đường Trần Quang Khải - Phường Tràng Tiền - Quận Hoàn Kiếm - TP. Hà Nội,024-39689898,024-35259898,info@thaigroup.com.vn,
221(B2/2021)-382(B1/2021),1701884951,Chưa niêm yết,"Số 59 đường Nguyễn Văn Cừ, Khu phố 3 - Thị trấn An Thới - Huyện Phú Quốc - Tỉnh Kiên Giang",0903 845 299,028-37731275,admin@ductuong.vn,
222(B2/2021)-383(B1/2021),0300482393,TCD,89 Cách Mạng Tháng 8-Phường Bến Thành-Quận 1-TP. Hồ Chí Minh,028-38330314,028-38330317,tracodi@tracodi.com.vn,
223(B2/2021)-384(B1/2021),0301438936,NLG,Số 6 Nguyễn Khắc Viện - Phường Tân Phú - Quận 7 - TP. Hồ Chí Minh,028-54161718,028-54171819,info@namlongvn.com,
224(B2/2021)-385(B1/2021),1100641143,Chưa niêm yết,99 Nguyễn Thị Minh Khai - Phường Bến Thành - Quận 1 - TP. Hồ Chí Minh,028-39260666,028-38336105,sales@atad.vn,
388(B1/2021),3600233805,Chưa niêm yết,KCN Sông Mây - Xã Bắc Sơn - Huyện Trảng Bom - Tỉnh Đồng Nai,0251-3869111,0251-3869110,antmarketingdn@gmail.com,
390(B1/2021),0100110768,PGI,Tầng 21 - 22 Tòa nhà Mipec - 229 Tây Sơn - Quận Đống Đa - TP. Hà Nội,024-37760867,024-37760868,pjico@petrolimex.com.vn,
389(B1/2021),0301444263,LIX,"Số 3, Đường Số 2 - Phường Linh Trung - Quận Thủ Đức - TP. Hồ Chí Minh",028-38966803,028-38967522,lixco@lixco.com,
225(B2/2021)-386(B1/2021),0700220547,Chưa niêm yết,KCN Đồng Văn - Phường Đồng Văn - Thị xã Duy Tiên - Tỉnh Hà Nam,0226-3836842,0226-3582628,cskh@honghafeed.com.vn,
