,Xếp hạng VNR500,Mã số thuế,Mã chứng khoán,Trụ sở chính,Tel,Fax,E-mail,Website,url
189,301(B2/2021)-491(B1/2021),301446006,PPH,48 Tăng Nhơn Phú - Khu phố 3 - Phường Tăng Nhơn Phú B - Quận 9 - TP. Hồ Chí Minh,028-66847979 / 38963533,028-37281893 / 38966088,info@phongphucorp.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PPH
190,300(B2/2021)-490(B1/2021),102065366,VND,1 Nguyễn Thượng Hiền-Phường Nguyễn Du-Quận Hai Bà Trưng-TP. Hà Nội,024-39410510,024-39724600,info@vnds.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VND
191,299(B2/2021)-489(B1/2021),101218757,DPG,"Tầng 15, Tòa nhà Handico, KĐT mới Mễ Trì Hạ - Đường Phạm Hùng - Phường Mễ Trì - Quận Nam Từ Liêm - TP. Hà Nội",024-37830856,024-37830859,info@datphuong.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DPG
192,306(B2/2021)-498(B1/2021),3600253537,SAM,"152/11B Điện Biên Phủ, P.25, Quận Bình Thạnh, TP.HCM",0251-3830936/028-35122919,0251-3830933/028-35122919,contact@samholdings.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SAM
193,308(B2/2021),105824156,IBC,"Tầng 4, Tháp A - Sky City Tower, 88 Láng Hạ, Đống Đa, Hà Nội",024 6262 9588,024 6262 9588,info@apaxholdings.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=IBC
194,310(B2/2021),300645369,STG,1B Hoàng Diệu - Phường 13 - Quận 4 - TP. Hồ Chí Minh,028-62685858,028-38266593,info@sotrans.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=STG
195,314(B2/2021),500391400,DHT,Số 10A Quang Trung - Quận Hà Đông - TP. Hà Nội,024-33824685,024-33829054,duochatay@gmail.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DHT
196,315(B2/2021),105167581,ROS,Số 265 Cầu Giấy - Phường Dịch Vọng - Quận Cầu Giấy - TP. Hà Nội,024-32242600,024-32242601,contact@flcfaros.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=ROS
197,318(B2/2021),3700381282,DTL,Lô CN 8 - đường CN 5 - KCN Sóng Thần 3 - Phường Phú Tân - TP. Thủ Dầu Một - tỉnh Bình Dương,0274-3719999,0274-3732983,daithienloc@hcm.vnn.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DTL
198,322(B2/2021),4100733174,PCE,"Lô A2, Cụm công nghiệp Nhơn Bình, TP.Quy Nhơn, Tỉnh Bình Định",0256 3848488,0256 3848588 – 3848928,pvfcco-central@pce.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PCE
199,321(B2/2021),100108656,TRA,75 Yên Ninh - Phường Quán Thánh - Quận Ba Đình - TP. Hà Nội,18006612,024-36815097,info@traphaco.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TRA
200,324(B2/2021),303315400,SCR,253 Hoàng Văn Thụ - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh,028-38249988,028-38249977,info@ttcland.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SCR
201,328(B2/2021),2800463346,LSS,Thị Trấn Lam Sơn-Huyện Thọ Xuân-Tỉnh Thanh Hóa,0237-8996667,0237-3834092,info@lasuco.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=LSS
202,333(B2/2021),102524651,SHS,"Tầng 1-5, Tòa nhà Unimex Hà Nội, Số 41 Ngô Quyền - Phường Hàng Bài - Quận Hoàn Kiếm - TP. Hà Nội",024-38181888,024-38181688,contact@shs.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SHS
203,335(B2/2021),101449271,NSC,Số 1 Phố Lương Đình Của - Phường Phương Mai - Quận Đống Đa - TP. Hà Nội,024-38523294,024-38527996,nsc@vinaseed.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NSC
204,338(B2/2021),103018538,PLP,"Lô Đất CN4.3 KCN MP Đình Vũ, Khu Kinh tế Đình Vũ-Cát Hải - Phường Đông Hải 2 - Quận Hải An - TP. Hải Phòng",0225-8830102,,info@phaleminerals.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PLP
205,343(B2/2021),1800155452,SDG,366E Cách Mạng Tháng 8 - Phường Bùi Hữu Nghĩa - Quận Bình Thuỷ - TP. Cần Thơ,0292-3884354 / 3884919,0292-3821141,kinhdoanh@sadico.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SDG
206,339(B2/2021),1200526842,THG,90 Đinh Bộ Lĩnh-Phường 9-TP. Mỹ Tho-Tỉnh Tiền Giang,0273-3872878,0273-3850597,ticco@ticco.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=THG
207,347(B2/2021),102806367,EVF,"Tầng 14, 15 và 16, Tháp B, Tòa nhà EVN, số 11 Cửa Bắc - Phường Trúc Bạch - Quận Ba Đình - TP. Hà Nội",024-22229999,024-22221999,taichinhdienluc@evnfe.vn / lienhe@evnfc.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=EVF
208,349(B2/2021),305475110,PVP,"Tầng 3, Tòa nhà PVFCCo, 43 Mạc Đĩnh Chi - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh",028-38228546,028-38228545,pacific@pvtrans.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PVP
209,345(B2/2021),101099228,DAG,Tầng 9 - Tháp Tây - Tòa nhà Hancorp Plaza - 72 Trần Đăng Ninh - Quận Cầu Giấy - TP. Hà Nội,024-37342888,024-37938942,info@nhuadonga.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DAG
210,348(B2/2021),305299779,VCI,"Tầng 15, Tháp tài chính Bitexco, số 2 Hải Triều, Quận 1, Tp. Hồ Chí Minh, Việt Nam",028-39143588,028-39143209,info@vcsc.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VCI
211,354(B2/2021),101405355,S99,"Tầng 3, Tháp C, Tòa Nhà Golden Palace - Đường Mễ Trì - Phường Mễ Trì - Quận Nam Từ Liêm - TP. Hà Nội",024-37684495,024-37684490,sci@scigroup.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=S99
212,362(B2/2021),400101404,DDN,Số 2 Phan Đình Phùng - Phường Hải Châu 1 - Quận Hải Châu - TP. Đà Nẵng,0236-3810735,0236-3891752,infor@dapharco.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DDN
213,363(B2/2021),305390530,GSP,"Tầng 13, tòa nhà Sofic, số 10 Mai Chí Thọ, P.Thủ Thiêm, Tp. Thủ Đức, TP.HCM, Việt Nam.",028-22205388,028-22205366,postmaster@gasshipping.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=GSP
214,366(B2/2021),101311315,PHC,"Tầng 1, Tháp A, Tòa Nhà CT2 (The Light), Đường Tố Hữu - Phường Trung Văn - Quận Nam Từ Liêm - TP. Hà Nội",024-66646518/19/20,024-66646521,info@phuchung.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PHC
215,371(B2/2021),301825452,SRF,"Lầu 14, Tòa nhà VP Centec Tower, Số 72 - 74 Nguyễn Thị Minh Khai - Phường 6 - Quận 3 - TP. Hồ Chí Minh",028-38227260,028-38226001,info@searefico.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SRF
216,380(B2/2021),101183550,CEO,"Tầng 5, Tháp CEO, Lô HH2-1, Đường Phạm Hùng - Phường Mễ Trì - Quận Nam Từ Liêm - TP. Hà Nội",024-37875136,024-37875137,info@ceogroup.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CEO
217,381(B2/2021),1400384433,IMP,"Số 4, Đường 30/4 - Phường 1 - TP. Cao Lãnh - Tỉnh Đồng Tháp",0277-3851941,0277-3853106,imp@imexpharm.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=IMP
218,389(B2/2021),100100625,SRC,Số 231 Nguyễn Trãi - Phường Thượng Đình - Quận Thanh Xuân - TP. Hà Nội,024-38583656,024-38583644,caosusaovang@src.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SRC
219,388(B2/2021),3700148825,KSB,Đại lộ Bình Dương - Khu phố Hòa Lân I - Phường Thuận Giao - TP. Thuận An - Tỉnh Bình Dương,0274-3822602,0274-3823922,info@bimico.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=KSB
220,391(B2/2021),900264799,TDP,Thôn Bằng Ngang - Thị trấn Lương Bằng - Huyện Kim Động - Tỉnh Hưng Yên,0221-3810705,0221-3810706,support@thuanducsjc.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TDP
221,396(B2/2021),2600106523,CVT,"Lô B10 – B11, Khu công nghiệp Thụy Vân - xã Thụy Vân - TP. Việt Trì - Tỉnh Phú Thọ",0210-3991706,0210-3991800,cmctilejsc@gmail.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CVT
222,400(B2/2021),3600363970,BBC,443 Lý Thường Kiệt - Phường 8 - Quận Tân Bình - TP. Hồ Chí Minh,028-39717920,028-39717922,bibica@bibica.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BBC
223,399(B2/2021),102182140,FIT,"Tầng 5, Tòa nhà HACC1 Complex Building, Số 35 Lê Văn Lương - Phường Nhân Chính - Quận Thanh Xuân - TP. Hà Nội",024-73094688,024-73094686,info@fitgroup.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=FIT
224,398(B2/2021),102681319,KOS,"B6-BT5, Khu đô thị mới Mỹ Đình 2 - Phường Mỹ Đình 2 - Quận Nam Từ Liêm - TP. Hà Nội",024-37833660 / 38378866,024-37833661,infor@kosy.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=KOS
225,402(B2/2021),4100259564,DBD,498 Nguyễn Thái Học - Phường Quang Trung - TP. Quy Nhơn - Tỉnh Bình Định,0256-3846500,0256-3846846,info@bidiphar.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DBD
226,415(B2/2021),4100258747,C47,8 Biên Cương - Phường Ngô Mây - TP. Quy Nhơn - Tỉnh Bình Định,0256-3522166,0256-3522316,c47@xaydung47.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=C47
227,423(B2/2021),100105895,VC2,Tầng 2-4-Tòa nhà D1-Khu đô thị mới Kim Văn-Kim Lũ-Phường Đại Kim-Quận Hoàng Mai-TP. Hà Nội,024-37530936,024-38361012,vinaconex2@vinaconex2jsc.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VC2
228,422(B2/2021),301776205,VNL,145-147 Nguyễn Tất Thành - Phường 13 - Quận 4 - TP. Hồ Chí Minh,028-38255389,028-39405331,headoffice@vinalinklogistic.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VNL
229,421(B2/2021),103818809,HAH,"Tầng 7, Số 45 Triệu Việt Vương - Phường Bùi Thị Xuân - Quận Hai Bà Trưng - TP. Hà Nội",024-39877515,024-39744022,info@haiants.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HAH
230,419(B2/2021),101508664,INN,Số 72 Trường Chinh - Phường Phương Mai - Quận Đống Đa - TP. Hà Nội,024-36840093 / 38695605,024-36840095 / 38695605,info@appmail.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=INN
231,420(B2/2021),400101965,HHV,27 Bùi Chát - Phường Hòa Khánh Bắc - Quận Liên Chiểu - TP. Đà Nẵng,0236-3730574,0236-3842713,hmc.vanthu@deoca.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HHV
232,425(B2/2021),102278484,OGC,"Tòa nhà VNT Tower – Số 19 Nguyễn Trãi, Thanh Xuân, Hà Nội",024-37727252,024-37727073,info@oceangroup.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=OGC
233,428(B2/2021),302563707,ST8,A20 Tân Phong Nguyễn Hữu Thọ-Phường Tân Phong-Quận 7-TP. Hồ Chí Minh,028-62628888,028-62625888,info@st8.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=ST8
234,434(B2/2021),1700113586,CKG,34 Trần Phú - Phường Vĩnh Thanh - TP. Rạch Giá - Tỉnh Kiên Giang,0297-3874660,0297-3866451,tvkg@cicgroups.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CKG
235,432(B2/2021),301123125,SAS,Sân bay Quốc tế Tân Sơn Nhất - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh,028-38448358,028-38447812,sasco@sasco.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SAS
236,435(B2/2021),106393583,MBS,"Tòa nhà MB, Số 3 Liễu Giai - Quận Ba Đình - TP. Hà Nội",024-37262600,024-37262601,,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MBS
238,437(B2/2021),3400382278,ABS,Số 3 Nguyễn Du. - Phường Đức Thắng - TP. Phan Thiết - Tỉnh Khánh Hòa,0252-3721555,0252-3722622,dvnnbinhthuan@gmail.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=ABS
239,440(B2/2021),2500217389,NAG,Khu 9 - Phường Phúc Thắng - TP. Phúc Yên - Tỉnh Vĩnh Phúc,0211-3873568 / 024-32151329,0211-3530265 / 024-32151327,info@nagakawa.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NAG
240,447(B2/2021),100108504,VFC,Thôn Tự Khoát - Xã Ngũ Hiệp - Huyện Thanh Trì - TP. Hà Nội,024-37684464 / 37685775,024-37684465,info@vinafco.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VFC
241,449(B2/2021),100101273,HTM,38-40 Lê Thái Tổ - Phường Hàng Trống - Quận Hoàn Kiếm - TP. Hà Nội,024-38267984,024-39288407,banthuonghieu@haprogroup.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HTM
242,459(B2/2021),300363808,DQC,125 Hàm Nghi-Phường Nguyễn Thái Bình- Quận 1-TP. Hồ Chí Minh,08-38290135,08-38251518,info@dienquang.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DQC
243,460(B2/2021),302560110,OPC,1017 Hồng Bàng - Phường 12 - Quận 6 - TP. Hồ Chí Minh,028-37517111,028-38752048,info@opcpharma.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=OPC
244,480(B2/2021),301447426,HPT,"Lô E2a-3 đường D1, khu Công nghệ cao, TP. Thủ Đức, TP.HCM",028 38 266 206,028 54108 801,info@hpt.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HPT
245,481(B2/2021),2400345718,TDG,Lô D1 KCN Đình Trám-Xã Hoàng Ninh-Huyện Việt Yên-Tỉnh Bắc Giang,(84-204) 2244.903,(84-204) 3661.311,thaiduonggas@gmail.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TDG
246,483(B2/2021),200380768,TR1,Số 271 Lê Thánh Tông - Phường Máy Chai - Quận Ngô Quyền - TP. Hải Phòng,0225-3822329 / 3822440,0225-3745679,info@traco.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TR1
247,488(B2/2021),104228175,EVG,Số 142 Đội Cấn-Phường Đội Cấn-Quận Ba Đình-Thành phố Hà Nội,024-3200 1234,024- 3569 0141,info@everland.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=EVG
